AUTHOR,GENDER,RACE,DATE,TITLE,GENRE,PUBLISHER
Samuel Beckett,male,white,1974,Mercier and Camier,fiction,GROVE
Al Ellenberg,male,white,1974,Abduction: fiction before fact,fiction,GROVE
Josef Skvorecky,male,white,1974,Miss Silverstein's past: a detective story,fiction,GROVE
Samuel Beckett,male,white,1974,First Love and Other Shorts,fiction,GROVE
Amiri Baraka,male,afam,1975,Three Books by Imanu Amiri Baraka,fiction,GROVE
Tony Duvert,male,white,1975,Strange landscape,fiction,GROVE
Tom Stoppard,male,white,1975,Lord Malquist & Mr. Moon,fiction,GROVE
Dominique Verseau,male,white,1975,Yolanda,fiction,GROVE
Ron Raffaelli,male,white,1975,Rapture: 13 erotic fantasies,fiction,GROVE
Amiri Baraka,male,afam,1975,The system of dante's hell,fiction,GROVE
Jean Genet,male,white,1975,Querelle,fiction,GROVE
Samuel Beckett,male,white,1976,Fizzles,fiction,GROVE
Francois Truffaut,male,white,1976,Small change: a film novel,fiction,GROVE
Jean Genet,male,white,1976,Our Lady of the Flowers,fiction,GROVE
Samuel Beckett,male,white,1977,"I Can't Go On, I'll Go On",fiction,GROVE
Kenzaburo Oe,male,asian,1977,Teach Us to Outgrow Our Madness,fiction,GROVE
Elwyn M Chamberlain,male,white,1978,Gates of Fire,fiction,GROVE
August Coppola,male,white,1978,The intimacy: a novel,fiction,GROVE
Henry Miller,male,white,1978,Quiet days in Clichy and the world of sex: two books ,fiction,GROVE
Andrí© Malraux,male,white,1978,Lazuras,fiction,GROVE
Gilbert Sorrentino,male,white,1978,Mulligan stew,fiction,GROVE
Allen Ginsberg,male,white,1978,"Journals: Early Fifties, Early Sixties",fiction,GROVE
Samuel Beckett,male,white,1978,Molloy,fiction,GROVE
John Rechy,male,latinx,1978,Numbers,fiction,GROVE
John Rechy,male,white,1979,Rushes: a novel,fiction,GROVE
Andrí© Malraux,male,white,1979,Man's hope,fiction,GROVE
In-sob Zong ,male,asian,1979,Folk tales from Korea,fiction,GROVE
Henry James,male,white,1979,The reverberator,fiction,GROVE
Michael Thelwell,male,afam,1980,The Harder They Come,fiction,GROVE
Samuel Beckett,male,white,1980,Company,fiction,GROVE
Raymond Cousse,male,white,1980,Death sty: a pig's tale: a novel,fiction,GROVE
Alfred Jarry,male,white,1980,Selected works of Alfred Jarry,fiction,GROVE
Robert Gover,male,white,1980,One hundred dollar misunderstanding: a novel,fiction,GROVE
Leslie Marmon Silko,female,latnx,1981,Storyteller,fiction,GROVE
Octavio Paz,male,latinx,1981,The monkey grammarian,fiction,GROVE
Juan Goytisolo,male,latinx,1981,Makbara,fiction,GROVE
Joseph Smith,male,white,1981,The day the music died ,fiction,GROVE
William S Burroughs,male,white,1981,The last words of Dutch Schultz: a fiction in the form of a film,fiction,GROVE
Alexander Trocchi,male,white,1981,Cain's Book,fiction,GROVE
John Kennedy Toole,male,white,1981,A Confederacy of Dunces,fiction,GROVE
Bruce Abbott,male,white,1981,The sign of the scorpion: an erotic mystery story,fiction,GROVE
Samuel Beckett,male,white,1981,Ill seen ill said ,fiction,GROVE
Alain Robbe-Grillet,male,white,1982,Djinn,fiction,GROVE
Robert Coover,male,white,1982,Spanking the maid: a novel,fiction,GROVE
"Driss ben Hamed Charhadi, Paul Bowles","male, male","black, white",1982,A life full of holes: a novel tape-recorded in Mogherbi and translated into English by Paul Bowles,fiction,GROVE
Mikhail Bulgakov,male,white,1982,Heart of the Dog,fiction,GROVE
Grove Press ,na,na,1982,"Eveline II, or, The adventure of a young lady of qualty who was never found out",fiction,GROVE
Grove Press ,na,na,1982,Venus in the country,fiction,GROVE
Grove Press ,na,na,1982,Beatrice,fiction,GROVE
Grove Press ,na,na,1982,"A man with a maid, book three",fiction,GROVE
Sue Townsend,female,white,1982,The Adrian Mole diaries,fiction,GROVE
John Rechy,male,latinx,1983,The Fourth Angel,fiction,GROVE
Henry Miller,male,white,1983,Opus Pistorum,fiction,GROVE
Howard Fast,male,white,1983,Citizen Tom Paine,fiction,GROVE
Henry Miller,male,white,1983,Under the roofs in Paris,fiction,GROVE
Brad Benedict,male,white,1983,The Blue Book,fiction,GROVE
Stephen Schneck,male,white,1983,The nightclerk: being his perfectly true confession,fiction,GROVE
Graham Chapman,male,white,1983,Monty Python's the meaning of life,fiction,GROVE
Samuel Beckett,male,white,1983,Worstward ho,fiction,GROVE
Harriet Daimler,female,white,1983,Innocence,fiction,GROVE
Grove Press ,na,na,1983,The Days at Florville,fiction,GROVE
Harriet Daimler,female,white,1983,Darling,fiction,GROVE
Grove Press ,na,na,1983,Davina or The romance of mesmerism,fiction,GROVE
Grove Press ,na,na,1983,Arabella: the pursuit of desire,fiction,GROVE
Whidden Graham,male,white,1983,Crimson hairs: an erotic mystery story,fiction,GROVE
Grove Press ,na,na,1983,Laura,fiction,GROVE
Grove Press ,na,na,1983,Astrid Cane,fiction,GROVE
Celeste Piano,na,na,1983,Oh wicked country!,fiction,GROVE
Grove Press ,na,na,1983,Secret Talents,fiction,GROVE
Stefan Heym,male,white,1983,The Wandering Jew: a novel,fiction,GROVE
Cheng'en Wu,male,asian,1984,Monkey,fiction,GROVE
Charles Johnson,male,afam,1984,Oxherding tale,fiction,GROVE
Rikki Ducornet,female,white,1984,The stain,fiction,GROVE
Richard Manton,male,white,1984,"The Victorian imagination, a sampler: tastings from forbidden books",fiction,GROVE
Rosset Barney,male,white,1984,Evergreen Review No. 98,fiction,GROVE
Grove Press ,na,na,1984,"Lascivious scenes in the convent: how Tasso dilligently cultivated certain waste fields, and made of them a delightful paradise",fiction,GROVE
Adolphe Belot,male,white,1984,Parisian frolics,fiction,GROVE
Harriet Daimler,female,white,1984,The woman thing,fiction,GROVE
Grove Press ,na,na,1984,Nights of the rajah: or the Indian loves of Captain Charles de Vane,fiction,GROVE
Grove Press ,na,na,1984,Clara Birch,fiction,GROVE
Grove Press ,na,na,1984,Julie,fiction,GROVE
Yu Li,male,asian,1984,The before-midnight scholar (Jou pu tuan),fiction,GROVE
Grove Press,na,na,1984,Jennie,fiction,GROVE
Woman of quality,na,na,1984,Lady Beth,fiction,GROVE
Kathy Acker,female,white,1984,Blood and Guts in High School,fiction,GROVE
John Rechy,male,latinx,1984,The Sexual Outlaw  A Documentary,fiction,GROVE
Kenzaburo Oe,male,asian,1985,The Crazy  Iris and Other Stories from Atomic Aftermath,fiction,GROVE
Jeanette Winterson,female,white,1985,Oranges are not the only fruit ,fiction,GROVE
Grove Press,na,na,1985,Emily,fiction,GROVE
Terence Sellers,female,white,1985,The correct sadist: a novel,fiction,GROVE
Grove Press,na,na,1985,A week-end visit ,fiction,GROVE
Grove Press,na,na,1985,Lashed into lust,fiction,GROVE
Grove Press,na,na,1985,Joy,fiction,GROVE
Lord Drialys,male,white,1985,The beautiful flagellants of New York,fiction,GROVE
Grove Press,na,na,1985,The romances of Blanche La Mare,fiction,GROVE
Grove Press,na,na,1985,Augustus and Lady Maude: an idyll of the nineteenth century ,fiction,GROVE
Grove Press,na,na,1985,School for Scandal: memoirs of Lord Frederick Cyr; a Victorian Novel,fiction,GROVE
Grove Press,na,na,1985,Natasha: novel,fiction,GROVE
Witold Gombrowicz,male,white,1985,Cosmos and Pornografia,fiction,GROVE
Tim Parks,male,white,1985,Tongues of flame,fiction,GROVE
Grove Press,na,na,1985,Elinor,fiction,GROVE
Grove Press,na,na,1985,A weekend,fiction,GROVE
Grove Press,na,na,1985,Maude Cameron and her guardian: volumes 1&2,fiction,GROVE
Marguerite Duras,female,white,1986,The Malady of Death,fiction,GROVE
Richard Maynard ,male,white,1986,The coconut book,fiction,GROVE
Brion Gysin,male,white,1986,The last museum,fiction,GROVE
Marguerite Duras,female,white,1986,"Destroy, she said ",fiction,GROVE
"Aharon Apelfeld, Yaacov Jeffrey Green","male, male","white, white",1986,To the land of the cattails,fiction,GROVE
John Pearson,male,white,1986,James Bond: the authorized biography of 007,fiction,GROVE
Grove Press,na,na,1986,"The shuttered houses of Paris: being a companion volume to the ""Pretty women of Paris""",fiction,GROVE
Ernest Larsen,male,white,1986,Not a Through Street,fiction,GROVE
Jerome Charyn,male,white,1986,Blue Eyes,fiction,GROVE
Dan Sherman,male,white,1986,The man who loved Mata Hari,fiction,GROVE
John Cleve,male,white,1986,"The crusader, book V: Saladins spy",fiction,GROVE
Grove Press,na,na,1986,Tomboy: memoirs of a girls' reformatory and its cause cí©líÂbre by One who was a witness,fiction,GROVE
Richard Manton,male,white,1986,The victorian in the harem,fiction,GROVE
Grove Press,na,na,1986,Dara: a Victorian novel,fiction,GROVE
Martin James Russell,male,white,1986,The search for Sara,fiction,GROVE
Eduard Limonov,male,white,1986,His Butler's Story,fiction,GROVE
George Revelli,male,white,1986,Commander Amanda,fiction,GROVE
Philip Elliot Slater,male,white,1986,How I saved the world: a novel,fiction,GROVE
Edward Keyes,male,white,1986,Doublle Dare,fiction,GROVE
Grove Press,na,na,1986,Blue velvet: a Victorian novel,fiction,GROVE
Pierre Latour,male,white,1986,Up in heaven,fiction,GROVE
Grove Press ,na,na,1986,Nymph in Paris,fiction,GROVE
Grove Press,na,na,1986,The amorous adventures of Professor Spender,fiction,GROVE
Akahige Namban,na,na,1986,"Chrysanthemum, Rose, and the Samurai",fiction,GROVE
Grove Press,na,na,1986,Miss Jolly,fiction,GROVE
Grove Press,na,na,1986,Katherine: a cautionary tale for young ladies who learn to like it,fiction,GROVE
Grove Press,na,na,1986,Vanessa: being the intrigues of village life & their consequences,fiction,GROVE
Grove Press,na,na,1986,Miss Martin,fiction,GROVE
Grove Press,na,na,1986,Amorous adventures of a Japanese gentleman: related for the entertainment of his honorable friends,fiction,GROVE
Penelope Lively,female,white,1986,Pack of cards and other stories,fiction,GROVE
Grove Press,na,na,1986,Altars of Venus ,fiction,GROVE
Grove Press,na,na,1986,Ellen's story: the schooling of Ellen Roberts,fiction,GROVE
Grove Press,na,na,1986,Edith's strange desire: an erotic mystery story,fiction,GROVE
Grove Press,na,na,1986,"New ladies' tickler, The adventures of Lady Lovesport and the audacious Harry",fiction,GROVE
Jackson Dunn,male,white,1986,Fit for a king ,fiction,GROVE
J.A. Underwood,male,na,1986,Recollections of the Golden Triangle,fiction,GROVE
Tom Sharpe,male,white,1987,Indecent Exposure,fiction,GROVE
Tom Sharpe,male,white,1987,Riotous Assembly,fiction,GROVE
Fernando Arrabal,male,latinx,1987,The Compass Stone,fiction,GROVE
Tim Parks,male,white,1987,Loving Roger,fiction,GROVE
Suzanne Ruta,female,na,1987,"Stalin in the Bronx, and other stories",fiction,GROVE
Gustavo Síçinz,male,latinx,1987,The princess of the iron palace,fiction,GROVE
Frederic Morton,male,white,1987,Crosstown sabbath: a street journey through history,fiction,GROVE
Pascal Bruckner,male,white,1987,Evil Angels,fiction,GROVE
Noel Virtue,male,white,1987,The redemption of Elsdon Bird,fiction,GROVE
Jeanne de Berg,female,white,1987,Women's Rites,fiction,GROVE
Eduard Limonov,male,white,1987,"It's me, Eddie: a fictional memoir",fiction,GROVE
Claude Simon,male,white,1987,Conducting Bodies: a novel,fiction,GROVE
Peter Ackroyn,male,white,1987,Chatterton,fiction,GROVE
Michel Tournier,male,white,1987,Gilles & Jeanne,fiction,GROVE
William Packard ,male,white,1987,Saturday night at San Marcos: a novel,fiction,GROVE
James McManus,male,white,1987,Chin Music: a novel,fiction,GROVE
Kathy Acker,female,white,1987,"Literal madness, Kathy goes to Haiti, My death my life by Pier Pasolini, and Florida",fiction,GROVE
Tim Parks,male,white,1988,Home Thoughts,fiction,GROVE
Amos Kenan,male,white,1988,The road to Ein Harod,fiction,GROVE
Bernard MacLaverty,male,white,1988,The Great Profundo and Other Stories,fiction,GROVE
Luciano De Crescenzo,male,white,1988,"Thus Spake Bellavista: Naples, love, and liberty",fiction,GROVE
James McManus,male,white,1988,Ghost Waves ,fiction,GROVE
Abdulrazak Gurnah,male,black ,1988,Memory of Departure,fiction,GROVE
Nicholson Baker,male,white,1988,The Mezzanine,fiction,GROVE
Elwyn M Chamberlain,male,white,1988,Then Spoke the Thunder,fiction,GROVE
Elwyn M Chamberlain,male,white,1988,The voice of thunder,fiction,GROVE
David Vogel,male,white,1988,Married Life,fiction,GROVE
Banana Yoshimoto,female,asian,1988,Kitchen,fiction,GROVE
Robin Hemley,male,white,1988,All You Can Eat,fiction,GROVE
Cyril Birch,male,white,1988,Anthology of Chinese Literature Vol. 1,fiction,GROVE
Marguerite Duras,female,white,1988,The Malady of Death ,fiction,GROVE
Patricia Highsmith,female,white,1988,Those Who Walk Away,fiction,GROVE
Banana Yoshimoto,female,asian,1989,Amrita,fiction,GROVE
Jose Donoso,male,latinx,1989,Curfew,fiction,GROVE
Kathy Acker,female,white,1989,Don Quixote,fiction,GROVE
Patricia Highsmith,female,white,1989,Edith's Diary,fiction,GROVE
Kathy Acker,female,white,1989,Empire of the Senseless,fiction,GROVE
J.P. Donleavy,male,white,1989,A Fairy Tale of New York,fiction,GROVE
Kathy Acker,female,white,1989,Great Expectations,fiction,GROVE
Alain Robbe-Grillet,male,white,1989,Jealousy & In the Labyrinth,fiction,GROVE
Kathy Acker,female,white,1989,Literal Madness,fiction,GROVE
Tom Sharpe,male,white,1989,Porterhouse Blue,fiction,GROVE
J. P. Donleavy,male,white,1989,A Singular Man,fiction,GROVE
Andrei Biely,male,white,1989,St. Petersburg,fiction,GROVE
Susan Brownmiller,female,white,1989,Waverly Place,fiction,GROVE
Chingiz Aitmatov,male,white,1989,The Place of the skull,fiction,GROVE
Randall Kenan,male,afam,1989,A visitation of spirits: a novel,fiction,GROVE
Lennart Hagerfors,male,white,1989,The Whales in Lake Tanganyika,fiction,GROVE
Richard Stern,male,white,1989,Noble rot: stories 1949-1988,fiction,GROVE
Gary Indiana,male,white,1989,Horse Crazy,fiction,GROVE
Naomi Bliven,female,white,1989,On her own,fiction,GROVE
Jayne Loader,female,white,1989,Wild America: stories,fiction,GROVE
Dennis McIntyre,male,white,1989,National anthems,fiction,GROVE
Sue Townsend,female,white,1989,Rebuilding Coventry: a tale of two cities,fiction,GROVE
Zhang Jie,female,asian,1989,Heavy Wings,fiction,GROVE
Sasha Sokolov,male,white,1989,Astrophobia,fiction,GROVE
Antí_nio Antunes,male,latinx,1990,Fado Alexandrino,fiction,GROVE
Delacorta,male,white,1990,Alba,fiction,GROVE
Dennis Cooper,male,white,1990,Closer,fiction,GROVE
J.P. Donleavy,male,white,1990,"The Destinies of Darcy Dancer, Gentleman",fiction,GROVE
William Hamilton,male,white,1990,The Lap of Luxury,fiction,GROVE
J.P. Donleavy,male,white,1990,"Leila  Further in the Life and Destinies of Darcy Dancer, Gentleman",fiction,GROVE
Sophia Healy,female,na,1990,Lone Stars,fiction,GROVE
Peter Smith,male,na,1990,Make-Believe Ballrooms,fiction,GROVE
Ron Hansen,male,white,1990,Nebraska,fiction,GROVE
John Kennedy Toole,male,white,1990,The Neon Bible,fiction,GROVE
Jeanne Schinto,female,white,1991,The Literary Dog  Great Contemporary Dog Stories,fiction,GROVE
Angela Huth,female,white,1991,Invitation to the married life,fiction,GROVE
Jia Pingwa,male,asian,1992,Turbulence: a novel,fiction,GROVE
Francisco Goldman,male,white,1992,The long night of white chickens,fiction,GROVE
Linda Seward,female,white,1992,Country quilts,fiction,GROVE
Sunetra Gupta,female,asian,1992,Memories of Rain,fiction,GROVE
Thulani Davis,female,afam,1992,1959: a novel,fiction,GROVE
Henry Miller,male,white,1992,Crazy Cock,fiction,GROVE
Dennis Cooper,male,white,1992,Frisk,fiction,GROVE
Barbara Trapido,female,white,1992,Temples of Delight,fiction,GROVE
William S. Burroughs,male,white,1992,The Wild Boys  A Book of the Dead,fiction,GROVE
Tim Parks,male,white,1993,Goodness,fiction,GROVE
Jamake Highwater,male,white,1993,Kill Hole,fiction,GROVE
Abby Frucht,female,white,1993,Licorice,fiction,GROVE
Henry Miller,male,white,1993,"Moloch  Or, This Gentile World",fiction,GROVE
Barry Gifford,male,white,1993,Night People,fiction,GROVE
Norman Manea,male,white,1993,"October, Eight O'Clock",fiction,GROVE
Nathan Shaham,male,white,1993,The Rosendorf Quartet,fiction,GROVE
Henry Miller,male,white,1993,Under the Roofs of Paris,fiction,GROVE
Dennis Cooper,male,white,1993,Wrong  Stories ,fiction,GROVE
Tim Parks,male,white,1993,Juggling the stars,fiction,GROVE
Philip Lee Williams,male,white,1993,Blue Crystal,fiction,GROVE
Joseph Koenig,male,white,1993,Brides of Blood,fiction,GROVE
Rení© Belletto,male,white,1993,Machine,fiction,GROVE
Nathan Shaham,male,white,1993,Bone to the bone,fiction,GROVE
Sunetra Gupta,female,asian,1993,The Glassblower's breath,fiction,GROVE
Jamake Highwater,male,white,1994,Dark Legend: a novel,fiction,GROVE
Almudena Grandes,female,latinx,1994,The ages of Lulu,fiction,GROVE
Barry Hannah,male,white,1994,Airships,fiction,GROVE
Abby Frucht,female,white,1994,Are You Mine?,fiction,GROVE
Barry Hannah,male,white,1994,Bats Out of Hell,fiction,GROVE
Liu Heng,male,asian,1994,Black Snow,fiction,GROVE
William T. Vollmann,male,white,1994,Butterfly Stories,fiction,GROVE
Reinaldo Arenas,male,latinx,1994,The Doorman,fiction,GROVE
Jose Donoso,male,latinx,1994,The Garden Next Door,fiction,GROVE
Aharon Appelfeld,male,white,1994,The Healer,fiction,GROVE
Aharon Appelfeld,male,white,1994,"Chinatown, The Last Detail",fiction,GROVE
Kurt Hollander,male,white,1994,Low Rent  A Decade of Prose and Photographs from the Portable Lower East Side,fiction,GROVE
Rust Hills,male,white,1994,"Lust, Violence, Sin, Magic",fiction,GROVE
Dagoberto Gilb,male,latinx,1994,The Magic of Blood,fiction,GROVE
Andrzej Szczypiorski,male,white,1994,A Mass for Arras,fiction,GROVE
Kathy Acker,female,white,1994,My Mother: Demonology ,fiction,GROVE
Reinaldo Arenas,male,latinx,1994,Old Rosa and The Brightest Star,fiction,GROVE
Amos Tutuola,male,afam,1994,The Palm-Wine Drinkard and My Life in the Bush of Ghosts,fiction,GROVE
Juan Rulfo,male,latinx,1994,Pedro Paramo,fiction,GROVE
Barry Hannah,male,white,1994,Ray,fiction,GROVE
William T. Vollmann,male,white,1994,Thirteen Stories and Thirteen Epitaphs,fiction,GROVE
Aharon Appelfeld,male,white,1994,To the Land of the Cattails,fiction,GROVE
Antí_nio Lobo Antunes,male,latinx,1995,An Explanation of the Birds,fiction,GROVE
Antí_nio Lobo Antunes,male,latinx,1995,Fado Alexandrino,fiction,GROVE
David Seybold,male,white,1995,Fathers and Sons An Anthology,fiction,GROVE
Dagoberto Gilb,male,latinx,1995,The Last Known Residence of Mickey,fiction,GROVE
Frederick Barthelme,male,white,1995,Moon Deluxe,fiction,GROVE
Jerzy Kosinski,male,white,1995,The Painted Bird,fiction,GROVE
Elena Castedo,female,latinx,1995,Paradise,fiction,GROVE
Ajay Sahgal,male,na,1995,Pool,fiction,GROVE
Jack Womack,male,white,1995,Random Acts of Senseless Violence ,fiction,GROVE
Frederick Bartheleme,male,white,1995,Second Marriage,fiction,GROVE
Tim Parks,male,white,1995,Shear,fiction,GROVE
Dennis Cooper,male,white,1995,Try,fiction,GROVE
Samuel Beckett,male,white,1995,"Samuel Beckett: the complete short prose, 1929-1989",fiction,GROVE
Alina Reyes,female,white,1995,The butcher: and other erotica ,fiction,GROVE
Ajay Sahgal,male,asian,1995,Pool: a novel,fiction,GROVE
Ray A Young Bear,male,natam,1996,Remnants of the first earth,fiction,GROVE
Kathy Acker,female,white,1996,"Pussy, king of the pirates",fiction,GROVE
Christopher Brookmyre,male,white,1996,Quite ugly one morning ,fiction,GROVE
John O'Brien,male,white,1996,The assault on Tony's ,fiction,GROVE
Ivan Turgenev,male,white,1996,The Torrents of Spring ,fiction,GROVE
Simon Mayle,male,white,1996,The Burial Brothers,fiction,GROVE
Aharon Appelfeld,male,white,1996,"Tzili, the story of a life",fiction,GROVE
Terry Southern,male,white,1996,Flash and filigree,fiction,GROVE
Frederick Barthelme,male,white,1996,Chroma: stories,fiction,GROVE
Barry Gifford,male,white,1996,The Wild Life f Sailor and Lula,fiction,GROVE
Ivan Prokopchuk,male,white,1996,The fire in Bradford: a novel,fiction,GROVE
Kirsty Gunn,female,white,1996,Rain,fiction,GROVE
Antí_nio Lobo Antunes,male,latinx,1996,Act of the Damned,fiction,GROVE
Terry Southern,male,white,1996,Blue Movie,fiction,GROVE
Michael Hornburg,male,white,1996,Bongwater,fiction,GROVE
Arthur Waley,male,white,1996,Book of Songs,fiction,GROVE
Alina Reyes,female,white,1996,The Butcher and Other Erotica,fiction,GROVE
Terry Southern,male,white,1996,Candy,fiction,GROVE
Howard Goldblatt,male,white,1996,Chairman Mao Would Not be Amused,fiction,GROVE
Peter Ackroyd,male,white,1996,Chatterton,fiction,GROVE
Frederick Barthelme,male,white,1996,Chroma,fiction,GROVE
Peter Ackroyd,male,white,1996,First Light,fiction,GROVE
Terry Southern,male,white,1996,Flash and Filligree,fiction,GROVE
Aharon Appelfeld,male,white,1996,For Every Sin,fiction,GROVE
Allen Ginsberg,male,white,1996,Indian Journals,fiction,GROVE
Christoph Ransmayr,male,white,1996,The Last World,fiction,GROVE
Banana Yoshimoto,female,asian,1996,Lizard,fiction,GROVE
Terry Southern,male,white,1996,The Magic Christian,fiction,GROVE
Kenzaburo Oe,male,asian,1996,"Nip the Buds, Shot the Kids",fiction,GROVE
Barry Gifford,male,white,1996,Perdita Durango,fiction,GROVE
Jerzy Kosinski,male,white,1996,Pinball,fiction,GROVE
Kirsty Gunn,female,white,1996,Rain,fiction,GROVE
Delacorta,male,white,1996,The Rap Factor,fiction,GROVE
Fay Weldon,female,white,1996,Splitting,fiction,GROVE
Christoph Ransmayr,male,white,1996,The Terrors of Ice and Darkness,fiction,GROVE
Frederick Barthelme,male,white,1996,Two Against One,fiction,GROVE
Barry Gifford,male,white,1996,The Wild Life of Sailr and Lula,fiction,GROVE
Barry Gifford,male,white,1996,Wild at Heart,fiction,GROVE
Jack Womack,male,white,1997,Ambient,fiction,GROVE
Andrzej Szczypiorski,male,white,1997,The Beautiful Mrs. Seidenman,fiction,GROVE
Alina Reyes,female,white,1997,Behind Closed Doors,fiction,GROVE
Ray Young Bear,male,natam,1997,Black Eagle Child,fiction,GROVE
Samuel Beckett,male,white,1997,"The Complete Prose, 1929-1989",fiction,GROVE
Jack Womack,male,white,1997,Elvissey,fiction,GROVE
David Leavitt,male,white,1997,Equal Affections,fiction,GROVE
Robert Coover,male,white,1997,Gerald's Party,fiction,GROVE
Will Self,male,white,1997,Grey Area and Other Stories,fiction,GROVE
Barry Hannah,male,white,1997,High Lonesome,fiction,GROVE
Enrico Brizzi,male,white,1997,Jack Frusciante Has Left the Band   A Love-Story with Rock 'n' Roll,fiction,GROVE
Jack Womack,male,white,1997,Let's Put the Future Behind Us,fiction,GROVE
Penelope Lively,female,white,1997,Moon Tiger,fiction,GROVE
Agota Kristof,male,white,1997,"The Notebook, the Proof, and the Third Lie",fiction,GROVE
Jeanette Winterson,female,white,1997,Orange Are not the Only Fruit,fiction,GROVE
Brian Antoni,male,afam,1997,Paradise Overdose,fiction,GROVE
Jeanette Winterson,female,white,1997,The Passion,fiction,GROVE
Robert Coover,male,white,1997,Pinocchio in Venice,fiction,GROVE
Michael Tolkin,male,white,1997,The Player,fiction,GROVE
Kathy Acker,female,white,1997,Pussy King of the Pirates,fiction,GROVE
John Rechy,male,latinx,1997,Rushes,fiction,GROVE
Andrzej Szczpiorski,male,white,1997,Self-Portrait With Woman,fiction,GROVE
Candace Bushnell,female,white,1997,Sex and The City,fiction,GROVE
Robert Eversz,male,white,1997,Shooting Elvis,fiction,GROVE
Jerzy Kosinski,male,white,1997,Steps,fiction,GROVE
John O'Brien,male,white,1997,Stripper Lessons,fiction,GROVE
Stephen Spender,male,white,1997,The Temple,fiction,GROVE
David Wojnarowicz,male,white,1997,"Nip the Buds, Shoot the Kids",fiction,GROVE
Dionne Brand,female,black,1997,"In another place, not here",fiction,GROVE
Andrzej Szczpiorski,male,white,1997,The shadow catcher ,fiction,GROVE
Robert Eversz,male,white,1997,Gypsy hearts,fiction,GROVE
John O'Brien,male,white,1997,Stripper Lessons,fiction,GROVE
Robert Coover,male,white,1997,The public burning ,fiction,GROVE
Norman Kelley,male,black,1997,Black Heat: a novel,fiction,GROVE
Peter R Bush,male,white,1997,The voice of the turtle: an anthology of Cuban Stories,fiction,GROVE
David Wojnarowicz,male,white,1997,The Waterfront journals,fiction,GROVE
Fay Weldon,female,white,1997,Worst Fears ,fiction,GROVE
John O'Brien,male,white,1998,The Assault on Tony's,fiction,GROVE
Jerzy Kosinski,male,white,1998,Blind Date,fiction,GROVE
Robert Coover,male,white,1998,Briar Rose,fiction,GROVE
Jerzy Kosinski,male,white,1998,Cockpit,fiction,GROVE
Iceberg Slim,male,afam,1998,Doom Fox,fiction,GROVE
Angelica J.,female,na,1998,Fermentation,fiction,GROVE
Matt Ruff,male,white,1998,Fool on the Hill,fiction,GROVE
Barry Hannah,male,white,1998,Geronimo Rex,fiction,GROVE
Mark Jacobson,male,white,1998,Gojiro,fiction,GROVE
Will Self,male,white,1998,Great Apes,fiction,GROVE
Dennis Cooper,male,white,1998,Guide,fiction,GROVE
Jack Womack,male,white,1998,Heathern,fiction,GROVE
Kathy Acker,female,white,1998,In Memoriam to Identity,fiction,GROVE
Kirsty Gunn,female,white,1998,The Keepsake,fiction,GROVE
Yxta Maya Murray,female,latinx,1998,Locas,fiction,GROVE
Jacqueline Susann,female,white,1998,The Love Machine,fiction,GROVE
Gilbert Adair,male,white,1998,Love and Death on Long Island,fiction,GROVE
Elissa Wald,female,na,1998,Meeting the Master,fiction,GROVE
Jim Dodge,male,white,1998,Not Fade Away,fiction,GROVE
Jacqueline Susann,female,white,1998,Once Is Not Enough,fiction,GROVE
Francisco Goldman,male,white,1998,The Ordinary Seaman,fiction,GROVE
Jerzy Kosinski,male,white,1998,Passion Play,fiction,GROVE
Kathy Acker,female,white,1998,Potrait of an Eye,fiction,GROVE
Robert Coover,male,white,1998,The Public Burning,fiction,GROVE
Kenzaburo Oe,male,asian,1998,A Quiet Life,fiction,GROVE
Ray Young Bear,male,natam,1998,Remnants on the First Earth,fiction,GROVE
Jean Lindamood Jennings,female,white,1998,"Road Trips, Head Trips, and Other Car-Crazed Writings",fiction,GROVE
Jeanette Winterson,female,white,1998,Sexing the Cherry,fiction,GROVE
Andrzej Szczpiorski,male,white,1998,The Shadow Catcher,fiction,GROVE
Robert Coover,male,white,1998,Spanking the Maid,fiction,GROVE
Jim Dodge,male,white,1998,Stone Junction  An Alchemical Potboiler,fiction,GROVE
Jack Womack,male,white,1998,Terraplane,fiction,GROVE
Will Self,male,white,1998,"Tough, tough toys for tough, tough boys",fiction,GROVE
Ihsan Bracy,male,black,1998,Ibo landing: an offering of short stories,fiction,GROVE
Robert Coover,male,white,1998,"Ghost Town, a novel",fiction,GROVE
Dionne Brand,female,afam,1999,At the full and change of the moon: a novel,fiction,GROVE
Thomas King,male,white,1999,Truth & Bright Water,fiction,GROVE
Penelope Lively,female,white,1999,Passing On,fiction,GROVE
Ying Hong,female,asian,1999,Summer Betrayal,fiction,GROVE
Grove Press,na,na,1999,The Gospel: according to Marl: authorized King James Version,fiction,GROVE
Grove Press,na,na,1999,Revelation: authorized King James Version,fiction,GROVE
Grove Press,na,na,1999,The Book of Job: authorized King James Version,fiction,GROVE
Grove Press,na,na,1999,"The first book of Moses, called Genesis",fiction,GROVE
Grove Press,na,na,1999,The Gospel according to Matthew: authorized King James Version,fiction,GROVE
Grove Press,na,na,1999,Proverbs: authorized Kings James Version,fiction,GROVE
Grove Press,na,na,1999,The Gospel according to John: authorized King James version,fiction,GROVE
Grove Press,na,na,1999,The Gospel according to Luke: authorized King James Version,fiction,GROVE
