volume_id,title,year,page,sentence,keyword,Valid ex? 1=remove,On topic? 1 = no,"P = positve, N = negative, [empty] = neutral/other - For ON TOPIC only",context,before_sentence,after_sentence
mdp.39015048689551,Indian Health Service dental newsletter /,1993,33,15,extinct,,1,place,"His first trip was the climbing of Mt. Edgecumbe, an extinct volcano, our little Fujiyama.","Fortunately, nothing else was damaged except the ego. Lloyd's engine died a quiet death before Christmas and has been out of the water since. However, he plans to have it back in the water this spring before the salmon start running. Both have quickly learned a great deal of respect for the ocean as it is so unforgiving. Dr. Tom Jacobsen has been doing a lot of backpacking, cross-country skiing along with an occasional bacchanalian blast when he is in from the field.","His first trip was the climbing of Mt. Edgecumbe, an extinct volcano, our little Fujiyama. At Christmas he went skiing in Colorado--ah, the bachelor life. Dr. Kurtley Bleuel, Barrow, Alaska, reports that spring is coming and with it the whaling season on the polar ice and the migration of the Canada geese. Dr. Steven a. Weiss, Aberdeen, South Dakota, bagged his elk in a hunt in New Mexico. Mr. and Mrs. Kurt (June) Schliebe, Aberdeen, South Dakota, will be moving into their new home Northwest of Aberdeen in April."
mdp.39015049481933,Warm Springs millennium : voices from the reservation /,2000,18,10,extinct,,1,animal,"At least half of the native trout, steelhead, and salmon populations of the Northwest are already extinct.","They ate fresh fish during the seasonal runs, dried and smoked it for winter use, and pounded it into a powdery meal that, mixed with dried berries and fruits, became a staple food called pemmican. Their fishing methods included nets made of willow bark, traps and weirs, dip nets and spears, and the , bow and arrow. The runs of fish in different rivers and creeks might have fluctuated from year year, but the overall abundance never varied. Then white men arrived in numbers during the nineteenth century, and by 1920 the salmon harvests in the Northwest averaged about 240 million pounds per year. For the past decade, harvests have averaged about 10 million pounds, and the fish runs continue to decline.","At least half of the native trout, steelhead, and salmon populations of the Northwest are already extinct. There are seventy-nine dams on the Columbia River system, and each year they kill more than 90 percent of the juvenile steelhead and salmon attempting to migrate downstream to the Pacific. (A radio commercial played on many Oregon stations in 1996 promised without a hint of irony that “on our Columbia River cruise, you rise and rise through eight majestic dams.”) Oregon Trout, a conservation organization widely known for its accuracy, estimates that over 90 percent of all the water in the Deschutes River basin is consumed by irrigation and livestock. So, like many other waterways, the Deschutes is a dying river."
mdp.39015050559759,"Metis outpost : memoirs of the first schoolmaster at the Metis settlement of Kelly Lake, BC, 1923-1925 /",1985,19,6,extinct,,1,animal,"It is ironic that the Genus Equus (the horse) evolved in the Americas to spread and thrive in Eurasia and Africa, and then, mysteriously, became extinct in the Western Hemisphere.","In my own ancestry through eight generations of record, it is a matter of regret to find no incidence of Indian blood. My wife, a beautiful blue-eyed blonde, is one eighth Iroquois! This becomes evident on rare but exciting occasions when she chases me around the menage with a tomahawk At least our children share this enviable heritage. Evils imposed on aborigines of the New World by the White man are well-known slaughter, dispossession, disease, liquor and immorality. Benefits were few the horse, firearms, the wheel and metal hardware.","It is ironic that the Genus Equus (the horse) evolved in the Americas to spread and thrive in Eurasia and Africa, and then, mysteriously, became extinct in the Western Hemisphere. When Spanish Conquistadores arrived in the 16th century, their horses of Arabian (Moorish) stock found a benign environment in which to multiply, escape and survive as wild mustangs far to the north into Canada. In the 1920s I had the privilege of seeing, owning and using some of their wild diminutive, but tough and surefooted progeny. Catlin gave a fascinating account of wild horses and the superb horsemanship of the Camanchees (sic) in what is 4 now Northwest Texas in 1834. On the prairie the Blackfeet were famous for their use of and skill with these animals which gave them a distinct advantage in hunting and warfare, as well as transport."
uc1.31175016738000,Mythology of the Thompson Indians /,1975,86,13,extinct,,,"quotation, race","You must become their wives and beget children, so that we may not become extinct in this place.""","They entered the other house, and found all the people dead there also; then they crossed the creek to the house of the xaxa', but found them dead likewise. Then they repaired to the remaining house, where the people were also dead excepting an old woman and her two young grand-daughters, who were the only people who had not gone to see the wonderful copper hammer and the chisel. The two young men were very glad to find some one alive, and took up their abode with the survivors. They all lived together in one house. After the girls had come of age and had finished their training, their grandmother said to them, “You must marry these two men who have helped to support you so long.","You must become their wives and beget children, so that we may not become extinct in this place."" Therefore the girls married the two men, and they had numerous children, from whom it is said most of the Spuzzum people are descended.? 3 41. The Dog People. (Lower Uta' mat.)"
wu.89060389863,Indians of the Southwest /,1975,152,3,extinct,,,race,West of the Rio Grande in the valley of the Mimbres was an Apache tribe now nearly extinct.,"In the mountains between the Rio Pecos and the Rio Grande, south of White Mountain, were the Mescalero Apache. They consisted of many bands, each of which claimed a rather definite locality as its home. The territory occupied by them extended southward to the mouth of the Pecos, but the bands in the lower part of this region were less closely allied to the Mescalero proper in political feeling and there was a slight difference in dialect.","West of the Rio Grande in the valley of the Mimbres was an Apache tribe now nearly extinct. They formerly were called the Mimbreños, but are better known by the name of their great war leader, Victorio. When he was defeated a part of this band joined the Mescalero and others united with the tribes west of them. The Apache living on the headwaters of the Gila River and southward are known as the Chiricahua. This tribe really consisted of four almost independent bands, each with a chief."
mdp.39015052977744,A concise Nuxalk-English dictionary /,1990,103,3,extinct,1,,,"*pl to have lacking, missing: plaalh one-legged, plalits toothless *plc (/*p1^1c/) having reached the end, gone, finished: plcalaaxt both his parents have died, nuplcaax to be extinct, deserted (village, population), plclxslayc he cannot speak anymore, plclxsalhts I cannot go any further 930 Plcwlaqs a woman's name 931 plht thick:","-87are anuuulh oil coat, pik'ulhiiqw southwester (hat), uspik'uuts water reflects the sunlight, spik' spark, alhpik'm sparks are flying, anupipk'miik sparks are coming out of the chimney 922 pilik't eel, lamprey 923 piq' wide, broad: pipq'aak, nupipq'lqs broad-leaved plantain, Piq'ulhla a man's name, pipq'uulh bug characterized by a grey stripe across its body 924 pisman to fish with a net 925 pispis (tr.) to train, educate somebody: pispistsut to study, take lessons, follow a course 926 pitl' dirty 927 *pits' light, milky, pale: nupits' muddy water (beigish in color), pits'mus having a pale face 928 pk'm mosquito: pk'mk'mi dim. 929","*pl to have lacking, missing: plaalh one-legged, plalits toothless *plc (/*p1^1c/) having reached the end, gone, finished: plcalaaxt both his parents have died, nuplcaax to be extinct, deserted (village, population), plclxslayc he cannot speak anymore, plclxsalhts I cannot go any further 930 Plcwlaqs a woman's name 931 plht thick: nuplhtatlsikan ""thick-eared"" = slow learner 932 plhtkn bark of bittercherry tree: plhtkáknlhp bitter cherry tree 933 plik (tr.) to tip, turn over something: plikm to capsize, pliktsut to play at turning over canoe, plplikusm to empty one's cup by tipping it over into one's mouth 934 plki7wa cedarwood box used for storing food 935 Plqwit a personal name 936 plst scale of fish plxani inner surface of abalone shell, mother-of-pearl: plxanyuulh buttons made of plxani, Plxanimc ""Abalone People"" (mentioned in a myth), Plxaniixas daughter of the chief of the Plxanimc"
mdp.39015003691758,Myron Eells and the Puget Sound Indians /,1976,81,2,extinct,,,race,"Dr. Gibbs, in 1852, stated their number to have been ninety, but they are now virtually extinct, there being none left who are not married to white men or into other tribes."," Potlatch house at Port Hadlock, used by Old Patsy in 1891 to distribute articles during the Fourth of July celebration. sionally collected for various purposes.","Dr. Gibbs, in 1852, stated their number to have been ninety, but they are now virtually extinct, there being none left who are not married to white men or into other tribes. The last complete families connected themselves with the Clallam Indians, but death has destroyed them as families, leaving only scattered individuals and they use the Clallam language. They say that their diminuition was caused by the smallpox, but probably war had much to do with it, as Dr. Gibbs says that they were engaged with wars with the Makah, Clallam, Twana, Snohomish and Duwamish Indians, by whom their power was broken. Ill: The Clallams—In the treaty, the name is spelled S'Klallam, but the V has been dropped and the 'k' changed to a 'c,' wherever the name is used except in government reports. Their own name for themselves is Nu-sklaim."
mdp.39015053788686,Going native : Indians in the American cultural imagination /,2001,234,2,extinct,,1,plant,"We find him first in the jungles of South America illegally gathering rare orchids for American markets, where ""orchid mania"" results in the near extinction of species that had once lavishly decorated the region's riverbanks.43 Edward's lifelong dream is ""to discover a new plant species that would bear his name.""44","Gardens in the Dunes further underscores the colonizing impulses of going native by drawing parallels between Hattie's Indian fascinations and those of her husband, Edward. A scholar and collector, Edward travels the world in search of specimens of various sorts (in this, his enterprise mirrors Andrews's love of collecting).","We find him first in the jungles of South America illegally gathering rare orchids for American markets, where ""orchid mania"" results in the near extinction of species that had once lavishly decorated the region's riverbanks.43 Edward's lifelong dream is ""to discover a new plant species that would bear his name.""44 In this, he resembles Adam in the Garden of Eden (one of the many gardens suggested by the novel's title), asserting his mastery over nature through the act of naming. Edward also resembles another figure we have encountered before: the traveler/discoverer asserting his dominance and ownership of Native lands and peoples. His collecting, too, is linked to the work of these other figures in its connection to the near extinction of the fictional Sand Lizard people. Silko has made this history explicit in an interview: ""I had this idea about these two sisters, and I knew right away that they weren't Pueblo people."
mdp.39015053788686,Going native : Indians in the American cultural imagination /,2001,234,5,extinct,1,,,"His collecting, too, is linked to the work of these other figures in its connection to the near extinction of the fictional Sand Lizard people.","Gardens in the Dunes further underscores the colonizing impulses of going native by drawing parallels between Hattie's Indian fascinations and those of her husband, Edward. A scholar and collector, Edward travels the world in search of specimens of various sorts (in this, his enterprise mirrors Andrews's love of collecting). We find him first in the jungles of South America illegally gathering rare orchids for American markets, where ""orchid mania"" results in the near extinction of species that had once lavishly decorated the region's riverbanks.43 Edward's lifelong dream is ""to discover a new plant species that would bear his name.""44 In this, he resembles Adam in the Garden of Eden (one of the many gardens suggested by the novel's title), asserting his mastery over nature through the act of naming. Edward also resembles another figure we have encountered before: the traveler/discoverer asserting his dominance and ownership of Native lands and peoples.","His collecting, too, is linked to the work of these other figures in its connection to the near extinction of the fictional Sand Lizard people. Silko has made this history explicit in an interview: ""I had this idea about these two sisters, and I knew right away that they weren't Pueblo people. I knew that they were from the Colorado River So many of the cultures along the Colorado River were completely wiped out. There's no trace of them left. And it was done by gold miners and ranchers."
mdp.39015003691758,Myron Eells and the Puget Sound Indians /,1976,119,0,extinct,,,race," John Palmer, born near Port Townsend about 1847, belonged to the now extinct Chemakum tribe.",," John Palmer, born near Port Townsend about 1847, belonged to the now extinct Chemakum tribe. His family died when he was young. He learned to speak English, Russian, and four native Indian tongues, enabling him to serve as an interpreter on several area reservations until his death in 1881."
uc1.31210010733150,"Historical collections of Louisiana, embracing translations of many rare and valuable documents relating to the natural, civil, and political history of that State /",1976,36,1,extinct,,,race,How many of them are totally extinct !,"tribes, which were once scattered over the surface of lower Louisiana at early periods of the colony.","How many of them are totally extinct ! How many dwindled down to a mere shadow, and their feeble remnant confounded with some neighboring tribe! The Attakapas, the Carancuas, the Opelousas, the Adayes, the Natchitoches, the Natchez, where are they, and what monuments have they left us, by which any trace of their origin or their history may be known? Of the Natchitoches, only a single individual exists, and he has been adopted by the Cados. Who knows anything of the language of those nations ?"
mdp.39015056259057,Grave injustice : the American Indian Repatriation Movement and NAGPRA /,2002,64,7,extinct,,1,animal,"This viewpoint was supported by attempts to explain the unfamiliar, extinct fossil remains in geological layers by positing something called catastrophism, or the idea that the world was destroyed and re-created several times by God's hand.","To understand this strange set of scientific and philosophical questions, we must look at the prevailing theories regarding human difference at the time, most of which haunt American existence today. We are accustomed to drawing a line between two basic explanations for human diversity around the globe: one created by God's hand (creationism) and the other a result of gradual change independent of God's continued involvement with the world (evolutionism). But in the nineteenth century more views abounded, which can be labeled as polygenesis, monogenetic degeneration, and monogenetic evolution. POLYGENESIS As the term implies, polygenesis (also known as pluralism and strongly underlain by hereditarianism, or the idea that biology creates destiny) was the unorthodox view that different human “types” represented not only different “races” but different species of humanity, each a result of separate acts of creation by God.","This viewpoint was supported by attempts to explain the unfamiliar, extinct fossil remains in geological layers by positing something called catastrophism, or the idea that the world was destroyed and re-created several times by God's hand. This viewpoint was developed aggressively in France but was always less accepted than theories based on the conventional explanations of difference as a result of something that happened after God's initial, singular acts of creation, or monogenesis. MONOGENETIC DEGENERATION Degenerationists believed in monogenesis but said that human differences are a result of the degeneration of some people away from God's original grace. This process began in the Garden of Eden when the possibility of true human oneness was destroyed by Adam and Eve's disobedience, and humans were cast out to fend for themselves. Those who stayed close to God's word, believing that he would bring a savior one day to redeem them from their original sin, retained most of the original features of God's creation, including white skin."
uc1.31210010733150,"Historical collections of Louisiana, embracing translations of many rare and valuable documents relating to the natural, civil, and political history of that State /",1976,36,7,extinct,,,race,The powerful tribe of the Natchez is totally extinct ; its last miserable remnant took refuge among the Chickasaws.,"How many dwindled down to a mere shadow, and their feeble remnant confounded with some neighboring tribe! The Attakapas, the Carancuas, the Opelousas, the Adayes, the Natchitoches, the Natchez, where are they, and what monuments have they left us, by which any trace of their origin or their history may be known? Of the Natchitoches, only a single individual exists, and he has been adopted by the Cados. Who knows anything of the language of those nations ? Their language, certainly among the most curious of the remnants of erratic tribes, and by which an acute philology might perhaps trace some affinities with other existing people, is known only to a few; and they are not of that class from whom the republic of letters might expect some account of it.","The powerful tribe of the Natchez is totally extinct ; its last miserable remnant took refuge among the Chickasaws. There remain a few degenerate (if such beings can degenerate) descendants of the Tunicas, Chitemachas, Pacagoulas, Apalaches and Beloxis. Neither the French nor the Spanish governments recognized in the Indians any primitive title to the land over which they hunted, nor even to the spot on which their permanent dwellings were fixed. They were often grantees of lands for very limited extents, not exceeding a league square, covering their village. They were sometimes permitted to sell out their ancient possessions, and had a new locality assigned them."
uc1.31210010733150,"Historical collections of Louisiana, embracing translations of many rare and valuable documents relating to the natural, civil, and political history of that State /",1976,36,15,extinct,,,race,"There are many indications here, as well as in upper Louisiana and Ohio, of a race of men, long since extinct, who had","They were often grantees of lands for very limited extents, not exceeding a league square, covering their village. They were sometimes permitted to sell out their ancient possessions, and had a new locality assigned them. Many titles of that kind exist at the present time, and have been subjects of judicial decision. But the policy of extinguishing the primitive Indian title, as it is called, by purchase, which prevailed universally among the English colonists, appears to have been wholly unknown to the French and Spaniards in Louisiana. The massacre of the French at Natchez, which led to the extermination of that tribe, was provoked by the atrocious attempt, by the commandant, to destroy their village at St. Catherine's, in order to annex the land to his own plantation.","There are many indications here, as well as in upper Louisiana and Ohio, of a race of men, long since extinct, who had"
mdp.39015058185144,Journal of American Indian education,2004,90,9,extinct,1,,,Vanishing voices: The extinction of the world's languages.,"Endnotes 'This article uses American Indians to refer to the American Indians of the northern western hemisphere. ? This grant application is entitled Northern Cheyenne Language Instructor Student Apprentice Program (Grant #N9ONL0211), and was submitted March 16, 2001 to the Administration for Native Americans located in the U.S. Department of Health and Human Services. For additional information regarding Total Physical Response, see J. Asher, Originator of the World Famous Total Physical Response (newly expanded 5th edition) Los Gatos, CA: Sky Oaks Productions or visit http://www.languageimpact.com/articles/other/ ashertpr.htm *This interruption from the opening paragraph is an attempt to illustrate what happens when an American Indian language dies. REFERENCES Nettle, D., & Romaine, S. (2000).","Vanishing voices: The extinction of the world's languages. Oxford, England: Oxford University Press. Shulman, R. (2002, June 24). No loss for words: Movement tries to preserve nearly extinct languages. Retrieved March 1, 2003, from http://www.sfgate.com/cgibin/article.cgi?file=chronicle/ archive/2002/06/24/"
mdp.39015058185144,Journal of American Indian education,2004,90,12,extinct,1,,,No loss for words: Movement tries to preserve nearly extinct languages.,"*This interruption from the opening paragraph is an attempt to illustrate what happens when an American Indian language dies. REFERENCES Nettle, D., & Romaine, S. (2000). Vanishing voices: The extinction of the world's languages. Oxford, England: Oxford University Press. Shulman, R. (2002, June 24).","No loss for words: Movement tries to preserve nearly extinct languages. Retrieved March 1, 2003, from http://www.sfgate.com/cgibin/article.cgi?file=chronicle/ archive/2002/06/24/ MN92515.DTL 84"
uc1.31822043014620,Background to historic and prehistoric resources of the East Mojave Desert region /,1976,87,18,extinct,,,race,First a now extinct Uto-Aztekan group lived along the Lower,"1500-1600 A.D., after which locally produced pottery was more generally in use. Malcolm Rogers has correlated this transition with ethnographic accounts of the Chemehuevi replacing the Desert Mohave in the not very distant past. In the historic period, the Chemehuevi were continuing to expand to the south and east along the Colorado River. Thus it is probable that peoples belonging to three different language families occupied the study area during the last 3,000 years. From presently available information the following scenario can be suggested.",First a now extinct Uto-Aztekan group lived along the Lower
mdp.39015018673882,Anthropological journal of Canada.,1977,82,19,extinct,,,paleohuman,"In fossil man inventories of the period, Ergis, Neanderthal, Cro-Magnon and other specimens were called extinct races rather than extinct species, so there was no threat of species mutability-the essence of evolution.","Anthropologists could have spent more time debating evolution if they had not been preoccupied with the Indo-European hypothesis, and they could have seen how critical fossils were to Darwin's theory. Anthropologists like Broca and Royer, who accepted human evolution, were skeptical that Europeans came from Asia, because their thinking was not circumscribed by the Bible and because they recognized fossils as evidence of indigenous development. Contrarily, anthropologists like Pruner-Bey, who clung to the orthodox Indo-European view, were skeptical about evolution. Certainly Aryanism delayed anthropologists' acceptance of evolution. They regarded fossils more as pre-Aryans than as missing links.","In fossil man inventories of the period, Ergis, Neanderthal, Cro-Magnon and other specimens were called extinct races rather than extinct species, so there was no threat of species mutability-the essence of evolution. Armand de Quatrefages and E. T. Hamy wrote the most authoritative work, Crania ethnica (last volume 1882), and it was designed to dispute Retzius rather than discuss Darwin. Few anthropologists made true evolutionary studies of fossil man until after A.D. 1900 (Erickson 1974:140-230). Aryanism was a theory of racial succession by replacement rather than transformation. Even those anthropologists who believed that Neanderthal man evolved into Cro-Magnon man were reluctant to believe that CroMagnon and Neanderthal were classed as prehistoric barbarians, while the Neolithic and historic peoples were associated with the Indo-European incursion."
uc1.31210011313655,"American Indian Policy Review Commission : final report submitted to Congress May 17, 1977.",1977,290,3,extinct,,,village,"We note in this regard that, according to Mr. Finale, the BIA continues to fund Oklahoma Indians living on now extinct reservations in that State as if the abolished reservations were still trust land.","Page Four ratified, trust lands in California are extremely small, and in most cases insufficient, both in area and quality, to support large on-reservation populations. It is grossly unfair to base funding on the size of trust lands since non-ratification prevented establishment of large and more viable reservations. The BIA in determining funding levels should take properly into account the reality of history which created the unique dispersion of California Indians throughout non-trust lands.","We note in this regard that, according to Mr. Finale, the BIA continues to fund Oklahoma Indians living on now extinct reservations in that State as if the abolished reservations were still trust land. In conclusion, we strongly believe that California Indian communities are not now receiving their proper share of the funds allocated by the Bureau of Indian Affairs. California is underfunded not only in terms of total allocations but also in terms of those programs for which a service population of 36,255 is clearly established. At the very minimum, California Indians shoºtd receive funding for such programs on a basis commensurate with their recogi; ; zed service population. The needs of California Indians are great and those needs for Services demand attention."
uiug.30112063751561,About Indians : a listing of books /,1977,81,40,extinct,,,race,$5.00 This children's book is divided into several sections aimed at educating the reader about the now extinct Chumash Indians.,"Brightly illustrated, the drawings add to the completeness where words might fail. Some history and a brief description of Indian customs is revealed. It is a good book for the younger reader. 370 Rambeau, John and Nancy and Gross, Richard Chumash Boy illus. by Sabina and Jean Yates Field Education Publications, 1968.","$5.00 This children's book is divided into several sections aimed at educating the reader about the now extinct Chumash Indians. This is done by telling an entertaining story of ""Chumash Boy"", who braved many dangers trying to right the wrongs done to him and his family by his wicked uncle. Through this short but informative tale of adventure, the reader gains facts and insights as to how these people lived before their extinction. This book provides general information on the Chumash tribe and finally a brief look at other natives of North America. In the"
uiug.30112063751561,About Indians : a listing of books /,1977,81,42,extinct,,,race,"Through this short but informative tale of adventure, the reader gains facts and insights as to how these people lived before their extinction.","It is a good book for the younger reader. 370 Rambeau, John and Nancy and Gross, Richard Chumash Boy illus. by Sabina and Jean Yates Field Education Publications, 1968. $5.00 This children's book is divided into several sections aimed at educating the reader about the now extinct Chumash Indians. This is done by telling an entertaining story of ""Chumash Boy"", who braved many dangers trying to right the wrongs done to him and his family by his wicked uncle.","Through this short but informative tale of adventure, the reader gains facts and insights as to how these people lived before their extinction. This book provides general information on the Chumash tribe and finally a brief look at other natives of North America. In the"
mdp.39015072170049,"Biomedical challenges presented by the American Indian; proceedings of the special session held during the seventh meeting of the PAHO Advisory Committee on Medical Research, 25 June 1968.",1968,11,7,extinct,,1,animal,"The context of the material in the cave indicates the presence of man with extinct fauna such as camel and horse and some Borealzone microfauna, but the few artifacts found are not particularly diagnostic (7).","Provisional correlations of the distribution of fluted points in the Great Lakes area have proposed an age of from 10,000 to 8000 b.c. for that area, and the evidence from the Southeast also suggests an antiquity for fluted points of about the same order. In the area west of the Rocky Mountains there are a number of complexes that may begin before 8000 b.c., but as yet this has not been adequately demonstrated. Among these are the Desert Culture, Lake Mohave and the San Dieguito culture of southern California, and a number of sites and complexes from Oregon to British Columbia and Washington compressed by some archaeologists into an Old Cordilleran culture. In extreme northwest Canada, the British Mountain complex is assigned considerable antiquity, but its age, except on typological grounds, is not known, and no archaeological assemblage from Alaska is as old as 8000 b.c. The oldest radiocarbon dates in association with human habitation in the United States are from Wilson Butte Cave in south-central Idaho, where from the lower zone of Stratum C there is a date of 12,550 ± 500 b.c. (M-1409) and from Stratum E a date of 13,050 ± 800 b.c. (M-1410).","The context of the material in the cave indicates the presence of man with extinct fauna such as camel and horse and some Borealzone microfauna, but the few artifacts found are not particularly diagnostic (7). Fluted points are known from Mexico and as far south as Guatemala and perhaps Costa Rica. In none of these instances, however, is there an associated industry. Most of the few fluted points are found in northern Mexico, where they are on the southern fringe of the Llano and Folsom concentrations in the Southwest and western Texas. There are no soundly established cultural assemblages in Mexico and Central America directly dated by radiocarbon before 8000 b.c."
mdp.39015072170049,"Biomedical challenges presented by the American Indian; proceedings of the special session held during the seventh meeting of the PAHO Advisory Committee on Medical Research, 25 June 1968.",1968,12,3,extinct,,1,animal,"In northeastern Venezuela, at the Muaco site, there is a possible association of man and extinct fauna in the period from 14,500 to 12,000 b.c.","importance in assessing the probable age of the first inhabitants of North America. On the north side of the Strait of Magellan, in Fells Cave, there is a date of 8760 b.c. (W-915) obtained by Junius Bird. From eastern Brazil, at Lagoa Santa, there is evidence of occupation around 8000 to 7000 B.C., and a sambaquis on the southeastern Brazilian coast has provided a date close to 6000 b.c.","In northeastern Venezuela, at the Muaco site, there is a possible association of man and extinct fauna in the period from 14,500 to 12,000 b.c. In the northern Andean area, artifact complexes have been given ages in the neighborhood of 8000 b.c. The South American data, with their wide geographic spread of early man around or before 9000 to 8000 b.c., imply the arrival of man on that continent substantially before the known dated complexes. Similarly, in Mexico and Central America the wide distribution of human occupations just before or after 8000 b.c. implies that the arrival of the first human groups was substantially before this date. If the proposed dates for man in the Valley of Puebla and the Valley of Mexico are confirmed to be between 40,000 and 24,000 years ago, there will be much work for archaeologists to do in the future to find substantiating evidence in the rest of the New World."
mdp.39015072170049,"Biomedical challenges presented by the American Indian; proceedings of the special session held during the seventh meeting of the PAHO Advisory Committee on Medical Research, 25 June 1968.",1968,21,22,extinct,,1,animal,As to the antiquity of Paleo-Indian man— using this term for a hunting and gathering culture that coexisted with animals now extinct and is known by its scaly-surfaced stone artifacts—no accepted chronology yet exists.,"Evidence of this migration is limited, perhaps because there has been very little exploration in this area. So far, no other theory seems to have been confirmed, hot even that of Mendez Correa (15), who suggests a route through the Antarctic from Australia to Tierra del Fuego. As far as I know, no transatlantic routes have been proposed. However, extraordinary similarities have been shown between the stone implements of western Africa and northeastern South America (5). These parallels are much closer than between Paleo-Indian material from Siberia and from North America.","As to the antiquity of Paleo-Indian man— using this term for a hunting and gathering culture that coexisted with animals now extinct and is known by its scaly-surfaced stone artifacts—no accepted chronology yet exists. We may estimate that the Paleo-Indian disappeared about 7,000 years ago, and very tentatively we may propose an arrival date in South America or Venezuela of 15,000 to 20,000 years ago. This latter date is calculated on the basis of finds for which the following ages have been obtained: El Jobo complex, 10,000 years; Las Lagunas and El Camare, more than 16,000 years; and Muaco, 14,740 to 16,580 years (21). I do not know of any earlier dates anywhere else in South America. Lanning and Patterson (13) estimate the Chuqui complex in Chile and the Tortuga and Red Zone complexes in Peru as the most ancient in the Pacific Andean region, both being 13,000 to 14,000 years old."
uiug.30112063751561,About Indians : a listing of books /,1977,84,30,extinct,,,race,"Since these people were extinct when the white man came, archaeological evidence provides the story of their highly developed culture and life.","This is a fascinating introduction for children to the questions which archaeology and anthropology deal with and the unsolved mystery surrounding the prehistoric ancestors of the American Indian. 386 Scheele, William E. The mound builders iſſus. by the author World, 1960. $3.76 The mound builders gives an introduction to a remarkable prehistoric culture which flourished in the Ohio Valley for about 1,500 years.","Since these people were extinct when the white man came, archaeological evidence provides the story of their highly developed culture and life. This is an informative book, and should be of interest to students in the middle grades who want to learn about ancient Indian cultures. The book is useful also as an introduction to the science of archaeology and what can be learned from artifacts and remains. 387 Scheer, George F., ed. Cherokee animal tales iſſus."
mdp.39015077119850,Do all Indians live in tipis? : questions and answers from the National Museum of the American Indian /,2007,12,8,extinct,1,,,Is it true that Native Americans hunted a great number of large animals to extinction?,How does someone become a tribal chief? 144 a 148 152 154 Animals and Land What kinds of animals mean the most to Indians? What is the relationship of Native Americans to the environment? What meanings do rocks and stones have for Native Americans?,Is it true that Native Americans hunted a great number of large animals to extinction? Do Native Americans still ride horses? 157 159 161 Why do Indians wear feathers? Why are eagle feathers important to Indians? 163 166 169 172 174 Language and Education Is it true that Indian languages are now extinct?
mdp.39015077119850,Do all Indians live in tipis? : questions and answers from the National Museum of the American Indian /,2007,12,12,extinct,1,,,163 166 169 172 174 Language and Education Is it true that Indian languages are now extinct?,What meanings do rocks and stones have for Native Americans? Is it true that Native Americans hunted a great number of large animals to extinction? Do Native Americans still ride horses? 157 159 161 Why do Indians wear feathers? Why are eagle feathers important to Indians?,"163 166 169 172 174 Language and Education Is it true that Indian languages are now extinct? Did Indians have alphabets and writing before contact with Europeans? What is a winter count? Why was the Navajo language chosen for military code in World War II? Were all Indian ""code talkers"" Navajo?"
uiug.30112063751561,About Indians : a listing of books /,1977,85,31,extinct,,,race,$2.75 Shannon has written an exciting children's story of the now extinct Chumash Indians of California.,"When it is completed his family invites everyone to the last of the winter ceremonials, a potlatch for Tyee. This narrative presents a clear and accurate picture of the Haida Indians from Alaska's coast, their way of life and their customs. Large print and colour illustrations make the book more appealing to the young reader. 393 Shannon, Terry Wakapoo and the flying arrows illus. by Charles Payzant Whitman, 1963.","$2.75 Shannon has written an exciting children's story of the now extinct Chumash Indians of California. The story is centred around Wakapoo, a young Indian boy and his companion Hano. While the majority of the tribe were attending a ceremonial dance, the strangers from the north attacked the Indians' store intending to steal the sea otter skins. Wakapoo plays an important part in the resistance of his people against this invasion. Black and white as well as full colour illustrations are used to complement this book."
mdp.39015077119850,Do all Indians live in tipis? : questions and answers from the National Museum of the American Indian /,2007,184,0,extinct,1,,,SIT TRUE THAT INDIAN LANGUAGES ARE NOW EXTINCT?,,"SIT TRUE THAT INDIAN LANGUAGES ARE NOW EXTINCT? 3 N ot all Native languages are extinct. While the exact number of languages in the Western Hemisphere before 1492 can never be known, at least 300 different languages were spoken in North America and possibly as many as 1,800 spoken in Mesoamerica and South America. Fewer than 175 languages remain in North America and, of those, only about 20 are spoken by children. The Navajo language remains the most vital, with more than one hundred thousand speakers."
uiug.30112063751561,About Indians : a listing of books /,1977,158,18,extinct,,,not extinct,The Indian is not extinct.,"This new identity gave him Indian ancestry and allowed him to live with the Indian people without fear of cultural rejection. His total immersion in Indian culture soon resulted in his complete transformation from white man to Indian. He had meticulously adopted their speech, mannerisms and dress, and no one suspected his non-native background. He seemed totally lost in the romanticism of living like “the noble savage'' and this usually at the expense of those involved in his life. He cared little for the children he sired with Indian women, but came and American Indian, the editor, in her introduction to this 1972 edition, sheds new light on the Indian question.","The Indian is not extinct. The Indian peoples have united and evolved, working toward the common goals of dignity, self-preservation and control over their own destiny. went as he pleased. But for all his frivolity * 7 12 and dubious characteristics, the man known as Grey Owl did have some redeeming factors. He spent the latter part of his life speaking out against environmental pollution and destruction and the annihilation of the creatures of nature."
