volume_id,title,page,sentence,keyword,Ontopic?1=no,P=positveN=negative[empty]=neutral/other-ForONTOPIConly,context,before_sentence,after_sentence,year
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,32,10,Frontier,,,"At this time Americans were constructing their national myth, so questions about the Revolutionary War (as well as other frontier conflicts) were pervasive in these encounters with Blacksnake.","Stone's study of Joseph Brant appeared in 1838, to be followed in 1841 by his biography of Red Jacket. It also has been suggested that autobiographies of frontiersmen, such as Boone and Crockett, may have influenced Indian life histories (Krupat 1985:41-44). The interest neighboring whites showed in Blacksnake's recollections may also have had an influence. The old chief was something of a local celebrity. Morgan (1851:74) mentions him, and interviews are recounted in the works of Schoolcraft (1847: 261, 457; 1851-57, 4:345-46) and Parkman (1851:376n).","At this time Americans were constructing their national myth, so questions about the Revolutionary War (as well as other frontier conflicts) were pervasive in these encounters with Blacksnake. Two other published works very likely, in my view, had an impact on the Williams-Blacksnake collaboration. The first is a strange book published by the Tuscarora David Cusick in 1825 (Beauchamp 1892). Cusick certainly provided a model for the publication by a native person of a text internally rather than externally generated. I do not suggest that Cusick's text was not influenced by the products of the Euro-American civilization that surrounded the Iroquois reservations in New York.",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,34,1,Frontier,,,"There is no way of knowing if Williams read any of the works that have been mentioned, but it does seem likely that he would have been aware of the popularity of using biography to deal with frontier war and diplomacy during the American Revolution.",think it very likely that Williams was aware of Seaver's publication of her story (Congdon's informants spoke of Williams's library).,"There is no way of knowing if Williams read any of the works that have been mentioned, but it does seem likely that he would have been aware of the popularity of using biography to deal with frontier war and diplomacy during the American Revolution. Blacksnake also may well have known of this literature through conversations with educated Indians and whites. I strongly suspect that it was this volume of literature, so much of which dealt with Iroquois subjects, that led Williams and Blacksnake to attempt to add yet another life story to it. Blacksnake's Narrative and Problems of Transcription Readers must be forewarned that Blacksnake's narrative is not elegant or lucid prose. Williams's writing has been described as “very bad reservation English” (Wallace 1970:345).",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,38,5,Frontier,,American frontier,"He was raised in a society that, with considerable validity, viewed itself as the diplomatic hub of the North American frontier.","“where is the covenant chain of Peace” INTRODUCTION Blacksnake's earliest memories were of a society in the midst of war—not a distant war, but one close to home. He saw his relatives and neighbors leave home to return, often within days, with tales of terror and heroism, in the exaltation of victory or the dejection of defeat, but in either case to tell of death and the horrible wounds men inflict on each other when using weapons is viewed as expedient in the pursuit of political or economic goals. This must have had a profound effect on the young boy in the first decade of his life. It prepared him well for the violent scenes he was to witness after he reached his twenties and for the bloody role he himself was to play. But it is incorrect to view Blacksnake's socialization as valuing military skills above all others.","He was raised in a society that, with considerable validity, viewed itself as the diplomatic hub of the North American frontier. It honored those with the skills to sway councils and manipulate men not by raw power but by the force and eloquence of argument. It was a society where diplomacy was a spectator sport and attendance at diplomatic conferences was not limited to a small elite but rather was a privilege enjoyed by the community at large. Blacksnake in his youth undoubtedly learned the importance of the council fire and the central role his people played in frontier diplomacy. 16",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,38,8,Frontier,,,Blacksnake in his youth undoubtedly learned the importance of the council fire and the central role his people played in frontier diplomacy.,"It prepared him well for the violent scenes he was to witness after he reached his twenties and for the bloody role he himself was to play. But it is incorrect to view Blacksnake's socialization as valuing military skills above all others. He was raised in a society that, with considerable validity, viewed itself as the diplomatic hub of the North American frontier. It honored those with the skills to sway councils and manipulate men not by raw power but by the force and eloquence of argument. It was a society where diplomacy was a spectator sport and attendance at diplomatic conferences was not limited to a small elite but rather was a privilege enjoyed by the community at large.",Blacksnake in his youth undoubtedly learned the importance of the council fire and the central role his people played in frontier diplomacy. 16,1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,46,14,Frontier,,,"Hence, for a proper understanding of the history Blacksnake presents it is necessary to discuss in some detail the political milieu of the northern frontier in the eighteenth century.","The Senecas of 1750 were of mixed ancestry. Population losses caused by warfare and disease had been compensated, at least partially, by captives and refugees who settled in Seneca villages. A Seneca of 1750 could perhaps count Hurons, Eries, Neutrals, Petuns, Ottawas, Algonkins, Foxes, French, Dutch, English, and even others among his ancestors and kinsmen. Blacksnake's uncle Cornplanter was fathered by the Dutch trader John Abeel (or O'Bail), while Blacksnake himself thought he had French ancestry. Blacksnake's story is a tale of war, but it is also a tale of politics and diplomacy.","Hence, for a proper understanding of the history Blacksnake presents it is necessary to discuss in some detail the political milieu of the northern frontier in the eighteenth century. The political environment was complex, in part because of the large number of political units involved in the forest diplomacy. It is also necessary to understand the nature of tribal political systems and the degree of control native “chiefs"" en-",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,51,7,Frontier,,,"Niagara surrendered to the amateur general Sir William Johnson.5 Later that same year Quebec fell, but the triumph of the English spelled economic disaster for the Indians on the frontier, whether they had fought on one side or the other or neither or both.","French military power on the continent was soon to ebb, however. Fort Duquesne fell in 1758, and in 1759 Sir William Johnson besieged the French stone fortress and trading post at Niagara that had been so important in French influence over the Senecas. Draper found that Blacksnake ""well recollects"" the siege of Niagara, although he was but “a small boy"" at that time. The Senecas had joined the large contingent of Iroquois in the British force. Among the Senecas present, according to Blacksnake, was Kayę?kwa htoh or Old Smoke, who had been among the large body of Iroquois who formed the left flank as they and two companies of British regulars from the Forty-fourth and Fortysixth regiments of foot defeated a French force from the western posts that was attempting to raise the siege (DM 4-8-58-59; Hamilton 1976:255-57).","Niagara surrendered to the amateur general Sir William Johnson.5 Later that same year Quebec fell, but the triumph of the English spelled economic disaster for the Indians on the frontier, whether they had fought on one side or the other or neither or both. The British commander, Amherst, instituted economy measures in the Indian Department, discontinuing the practice of cementing alliances between the Indians and the Crown with gifts that had become essential to native survival. Combined with other elements of friction between the red-coated soldiers now occupying the western posts and the native population surrounding them, this led to widespread agitation among the Indians to take up the hatchet again. As early as 1761 the Senecas were circulating war belts. Native frustration and fears finally broke into open hostilities in 1763.",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,52,0,Frontier,,,"rather than a conspiracy, but most of the Indians of the northern frontier participated.",,"rather than a conspiracy, but most of the Indians of the northern frontier participated. The eastern Senecas and the other five members of the famed confederacy were exceptions, being kept at peace through the skill and influence of Sir William Johnson. But Blacksnake's people took up the hatchet and inflicted severe damage on their British enemies. The western Senecas participated fully in Pontiac's Rebellion and perhaps helped to instigate the conflict (see Jacobs 1950; Wallace 1970:114-21). Blacksnake heard stories of victory from the war.",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,56,16,Frontier,,,"Both sides looked to the frontier and its native population, fearing that Indians might be drawn into the conflict on the side of the enemy.","Sir William also left an Indian widow, Molly (or Mary) Brant, who had managed his household and borne him several Mohawk children over two decades. And Molly Brant had a brother, the bilingual, literate, and able Joseph Brant or Thayendanegea. Sir William's family stepped into the gap created by his death. Elsewhere the British government was having increasing difficulties managing dissident elements in the American colonies. Open hostilities broke out in the spring of 1775.","Both sides looked to the frontier and its native population, fearing that Indians might be drawn into the conflict on the side of the enemy. Agents from both sides sought the ears of Indian chiefs and warriors. Blacksnake, a young man who had recently passed his twentieth year, was a keen observer of this diplomatic ac-",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,57,1,Frontier,,,The Outbreak of the American Revolution The outbreak of hostilities between the Crown and rebels in the American colonies led both sides to cultivate the body of experienced fighting men residing in the Indian towns on the frontier.,"tivity, and it is with a detailed description of this activity that his memoir dictated to Benjamin Williams begins.","The Outbreak of the American Revolution The outbreak of hostilities between the Crown and rebels in the American colonies led both sides to cultivate the body of experienced fighting men residing in the Indian towns on the frontier. Each side extended intensive diplomatic efforts to enlist these warriors in its cause or at least to ensure that they did not take the field for the enemy. The Crown had several advantages in this diplomatic contest. Of prime importance, experienced members of the Indian Service remained loyal, and their skills and contacts gave them considerable sway in Indian councils. Indian affairs in New York had long been handled out of Johnson Hall, under the guidance of Sir William Johnson.",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,60,8,Frontier,,,"In their journey from Conawagus to Pittsburgh, Blacksnake and the rest of the delegation encountered the advance guard of the frontier.","This is an overstatement. At the time of the messenger's arrival Blacksnake's uncle, ten years his nephew's senior, was a rapidly rising young man who was really to come to prominence because of his military role in the Revolutionary War. Undoubtedly he already had influence, but not to the extent that he could be ranked higher than other chiefs. Red Jacket, only twenty-five years old, might have already gained some influence because of his ability as a speaker, and it has been asserted that he did speak publicly in councils against Seneca entry into the Revolutionary struggle (Hubbard 1886:45-46). However, I consider it doubtful that Red Jacket played the prominent role in councils before the Six Nations entered the Revolutionary War that Blacksnake has ascribed to him.","In their journey from Conawagus to Pittsburgh, Blacksnake and the rest of the delegation encountered the advance guard of the frontier. The Senecas passed through small white settlements at both Erie and Franklin at the junction of French Creek and the Allegheny River. At Pittsburgh the Indians met with the commissioners from the Continental Congress. One of the commissioners explained the justice of the American cause and appealed to ""our Red Brethren the Six Nations and others to not Join Either Party."" Blacksnake reports that Red Jacket replied that the delegation supported this stance but would have to take the matter home to be discussed by the entire population.",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,80,7,Frontier,,,"Even in 1776, when for the most part Indians on the frontier were still neutral, the Declaration of Independence complained of British use of “the merciless Indian Savages"" against rebellious Americans.","As the American Revolution grew in intensity, so grew the pressure on North America's native people to play a role in the conflict. Having failed to crush the rebellion in its early stages, Britain found it expedient to approach its old allies, the Six Nations, and ask that they hold firm to the ancient covenant chain and take up arms to fight beside British and Loyalist troops against the enemies of the king. The rebels as well as the British attempted to secure Indian allies. Indeed, the British government avowed that it did not attempt to enlist Indians as allies until the rebels had employed Indians in their service, an argument that ""contains a small measure of truth"" (Wise 1970:188; see also Sosin 1965). However, the rebels, themselves able to attract only a very small number of native allies, used to considerable effect as propaganda the British employment of “savages.”","Even in 1776, when for the most part Indians on the frontier were still neutral, the Declaration of Independence complained of British use of “the merciless Indian Savages"" against rebellious Americans. This exaggerated charge has been followed by a long string of half-truths and outright lies 58",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,105,1,Frontier,,,"A critical reading of both his testimony and other sources gives a particularly detailed, and particularly human, view of Indian participation in the frontier campaigns of the American Revolution.","Seneca actions are well documented in the historical record, but Blacksnake has provided a significant expansion of that record.","A critical reading of both his testimony and other sources gives a particularly detailed, and particularly human, view of Indian participation in the frontier campaigns of the American Revolution. The Siege of Fort Stanwix and the Battle of Oriskany Blacksnake and other Senecas of his generation received their baptism of fire in the bloodiest engagement of the Revolution, considering the number involved. Although they were victorious on the field of Oriskany, the battle was but one element in a campaign that failed to achieve its objective, the capture of Fort Stanwix (renamed Fort Schuyler) at the “carrying place” between Wood Creek (leading to Oneida Lake and Lake Ontario) and the Mohawk River (see map 2). The combined British-Loyalist-Indian force advancing from the west to capture Fort Stanwix was commanded by Lieutenant Colonel Barry St. Leger, breveted to the rank of brigadier. The expedition was part of a larger plan to isolate New England from the rest of the rebellious colonies.",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,114,14,Frontier,,,It is also possible that he was present at other Revolutionary War battles on the frontier that for some reason did not come to be,"Others who have used the Blacksnake manuscript (i.e., Graymont 1972; Wallace 1970) have been unable to overcome this temptation. The conclusions presented here differ from those of Wallace and Graymont; readers are of course free to arrive at yet other conclusions. A guide to the period is provided in table 1, which summarizes my view of the correlation between the narrative and known historical events. There are many raids and battles that do not appear in table 1, so a substantial number of alternative interpretations are possible. An important point illustrated in the table is that if the information Draper gathered in his interview with Blacksnake relates to reality, he was present at several major engagements besides those described in the narrative.",It is also possible that he was present at other Revolutionary War battles on the frontier that for some reason did not come to be,1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,119,1,Frontier,,,One of Blacksnake's party tomahawked the stubborn and foolish frontiersman (DM 16-F-188).,captives refused to march Blacksnake gave orders to kill him.,"One of Blacksnake's party tomahawked the stubborn and foolish frontiersman (DM 16-F-188). The party with its three white captives spotted the fires of the remainder of the party Blacksnake had encountered. The narrative provides a brief but vivid account of the forced march across the Genesee and northward to the supposed safety of the Seneca country. Upon reaching the home of an elderly Seneca couple, the Senecas thought they had escaped the whites who were pursuing them. This feeling of security proved ill founded, for no sooner had Blacksnake returned to his home village than he heard that the elderly couple had been killed and the woman scalped.",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,119,10,Frontier,,,It may have been a scouting party of the kind that were being sent from Fort Pitt to keep watch on the frontier and give warning of impending attacks.,"This feeling of security proved ill founded, for no sooner had Blacksnake returned to his home village than he heard that the elderly couple had been killed and the woman scalped. Blacksnake led a party in fruitless pursuit of the murderers. Returning home to find another family murdered, he set out again, and this party discovered the tracks of shoes (rather than moccasins), which convinced Blacksnake that it was in fact whites who were the killers. With this raiding party active in the area, the Senecas posted sentries at their settlements, but the whites slipped away to return whence they came. It is difficult to tell the origins of this group.","It may have been a scouting party of the kind that were being sent from Fort Pitt to keep watch on the frontier and give warning of impending attacks. It is also possible that it was a group of settlers on an unofficial raid. We are given no clue to the fate of Blacksnake's three prisoners. It seems likely that they would have been made to run the gauntlet. Having survived this (as most captives did), they may have been adopted and kept in the Seneca village, or they may have been sent to the British post at Niagara.",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,120,0,Frontier,,,valley on the Pennsylvania frontier (Cartwright 1876:30–31).,,"valley on the Pennsylvania frontier (Cartwright 1876:30–31). The “head leaders"" of the Senecas were Cornplanter and Old Smoke (DM 4-5-27). The detachment arrived at Wyoming on June 30, 1778, and on the next day persuaded Wintermoot's Fort and Jenkin's Fort to surrender. Forty Fort refused to follow suit and on July 3 sent a force of over four hundred to attack the invaders. Under the command of Colonel Zebulon Butler and Colonel Nathan Dennison, the rebels fired three volleys before coming within effective range of the Indians and Loyalists.",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,128,14,Frontier,,,This blow caused panic on the Pennsylvania frontier.,"Surrender was the prudent course chosen. The Indian-Loyalist force then turned to meet a relief expedition, possibly eighty strong (Graymont 1972:202), under the command of Captain Hawkins Boon (PA, 7:597). It was defeated, and Boon and several of his men were killed; one Indian fatality was reported, contradicting Blacksnake's testimony to Draper that ""the Indians lost none killed” (DM 4-5-34). The expedition then “burnt thirty miles of a close-settled country, which inhabitants had abandoned"" (Cartwright 1876:37). The expedition killed sixteen men and took thirty others back to Niagara as prisoners (as usual, women and children were left unharmed) (PA, 7:610).","This blow caused panic on the Pennsylvania frontier. Petitions were circulated asking that General John Sullivan's army, then embarking on a major expedition into Seneca country, return to defend the frontier. When Sullivan did not offer his army for this purpose, some suggested court action against him. A militia officer reported the country nothing but “Disolation, fire & smoak” (Wallace 1970: 140-41).",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,128,15,Frontier,,,"Petitions were circulated asking that General John Sullivan's army, then embarking on a major expedition into Seneca country, return to defend the frontier.","The Indian-Loyalist force then turned to meet a relief expedition, possibly eighty strong (Graymont 1972:202), under the command of Captain Hawkins Boon (PA, 7:597). It was defeated, and Boon and several of his men were killed; one Indian fatality was reported, contradicting Blacksnake's testimony to Draper that ""the Indians lost none killed” (DM 4-5-34). The expedition then “burnt thirty miles of a close-settled country, which inhabitants had abandoned"" (Cartwright 1876:37). The expedition killed sixteen men and took thirty others back to Niagara as prisoners (as usual, women and children were left unharmed) (PA, 7:610). This blow caused panic on the Pennsylvania frontier.","Petitions were circulated asking that General John Sullivan's army, then embarking on a major expedition into Seneca country, return to defend the frontier. When Sullivan did not offer his army for this purpose, some suggested court action against him. A militia officer reported the country nothing but “Disolation, fire & smoak” (Wallace 1970: 140-41).",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,145,0,Frontier,,,ernor George Clinton lamented that Schenectady was now the western frontier of the state of New York (Graymont 1972:238– 39).,,"ernor George Clinton lamented that Schenectady was now the western frontier of the state of New York (Graymont 1972:238– 39). Hudson's Rescue of the White Captive It appears that the raid into the Schoharie Valley under Sir John Johnson was Blacksnake's last military experience in the Revolution. Indians, including many Senecas, were in the field fighting in 1781 and 1782, but no evidence in the narrative or in Draper's interview suggests that Blacksnake fought in any of these actions. The narrative does contain one final episode relating to warfare and captives, but here again we have an event Blacksnake did not witness. Also, because of the confused state of the narrative, it is difficult to locate this episode in space and time.",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,179,5,Frontier,,,"Brant Secures Land in Canada In contrast to the Senecas, who still resided in a fairly remote section of the frontier, even before the Revolution the Mohawks had lived in villages completely surrounded by whites.","Having effectively severed the alliance between the Iroquois and the western Indians, the United States commissioners worked at fragmenting the western confederacy still more. At Fort McIntosh in January 1785, they dictated their terms to the Wyandots, Delawares, Ojibwas, and Ottawas. At Fort Finney in Janury 1786, the Shawnees were persuaded to make peace and cede land. The confederacy of the Iroquois and western Indians denied the validity of the treaties of Stanwix, McIntosh, and Finney, but the confederacy itself was split. As the Americans pushed north and west of the Ohio, war was inevitable, but no Seneca warriors were able to aid the confederates to the west (see Downes 1940:293-98).","Brant Secures Land in Canada In contrast to the Senecas, who still resided in a fairly remote section of the frontier, even before the Revolution the Mohawks had lived in villages completely surrounded by whites. These Mohawk lands lay east of the 1768 Fort Stanwix line and had been lost to the rebels during the Revolution. In any case it is doubtful that Joseph Brant would have led his people to live under the ""yanky"" government, even if it were possible. Instead he negotiated with the British authorities for land in Canada where his people might settle. The initial grant of land was on the Bay of Quinte, and John Deseronto and his faction of the Mohawks (the Mohawks from Fort Hunter) found this land to their liking.",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,179,10,Frontier,,,"The Senecas pointed out to Brant that in the event of hostilities with the Americans it would be advantageous for his followers to live near them, so Brant sought lands closer to the Niagara frontier.","Brant Secures Land in Canada In contrast to the Senecas, who still resided in a fairly remote section of the frontier, even before the Revolution the Mohawks had lived in villages completely surrounded by whites. These Mohawk lands lay east of the 1768 Fort Stanwix line and had been lost to the rebels during the Revolution. In any case it is doubtful that Joseph Brant would have led his people to live under the ""yanky"" government, even if it were possible. Instead he negotiated with the British authorities for land in Canada where his people might settle. The initial grant of land was on the Bay of Quinte, and John Deseronto and his faction of the Mohawks (the Mohawks from Fort Hunter) found this land to their liking.","The Senecas pointed out to Brant that in the event of hostilities with the Americans it would be advantageous for his followers to live near them, so Brant sought lands closer to the Niagara frontier. On October 25, 1784, Governor Frederick Haldimand of Canada granted to ""the Mohawk Indians ... and others of the Six Nations, who have either lost their settlements within the Territory of the American States, or wish to retire from them to the British"" a tract of land six miles on each side of the Grand River from the mouth to the head (Graymont 1972:299). The ""head"" proved to be a line IS7",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,205,1,Frontier,,,"Although the task of rebuilding the ravaged United States military force on the frontier was given to Anthony Wayne, the government continued to work at a diplomatic solution using the Senecas and others of the Six Nations as intermediaries.","He lost 630 killed, including Major General Richard Butler, who had accompanied Cornplanter and Blacksnake to New York in 1786, and numerous other officers of field rank (ASP, IA, 1:13638).1","Although the task of rebuilding the ravaged United States military force on the frontier was given to Anthony Wayne, the government continued to work at a diplomatic solution using the Senecas and others of the Six Nations as intermediaries. Special efforts were extended to bring Joseph Brant into the peacemaking activities. Conference at Philadelphia The Americans raised western matters when they met with the Six Nations in Philadelphia in the spring of 1792. The Indians had agreed to come to Philadelphia to talk of schools and farming. On March 13, 1792, fifty representatives of the Six Nations arrived in Philadelphia.",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,227,6,Frontier,,,"The United States acknowledged these “to be the property of the Seneka nation; and (that) the United States will never claim the same, nor disturb the Seneka nation nor any of the Six Nations, or of their Indian friends residing theron and united with them, in the free use and enjoyment thereof: but it shall remain theirs, until they choose to sell the same to the people of the United States, who have the right to purchase” (Kappler 1901-41, 2:35).1 When the Canandaigua treaty was negotiated in 1794, peace was not yet firm on the western frontier, although the handwriting was on the wall following the battle at Fallen Timbers.","I heard several of the elderly woemen exclaim Yaugh-ti-Yaughti which was as much as to say—shame, scandalous—I made a pause, ruminating within my self how I should act, and concluded to read another paragraph, and received another salute of the same kind"" (Kent and Deardorff 1960:304-5). General Anthony Wayne's victory over the western Indians at Fallen Timbers that year and the refusal of the British to aid their former allies in that battle did much to quell the hostility so openly expressed by the Senecas. In addition, the Senecas obtained some concessions from the United States. The two sides came to agreement in the fall of 1794 at Canandaigua, with Timothy Pickering negotiating for the Americans. This Canandaigua treaty guaranteed the Senecas lands in New York State west of the Phelps and Gorham purchase (thus returning to them some lands relinquished in the treaties of Fort Stanwix and Fort Harmar).","The United States acknowledged these “to be the property of the Seneka nation; and (that) the United States will never claim the same, nor disturb the Seneka nation nor any of the Six Nations, or of their Indian friends residing theron and united with them, in the free use and enjoyment thereof: but it shall remain theirs, until they choose to sell the same to the people of the United States, who have the right to purchase” (Kappler 1901-41, 2:35).1 When the Canandaigua treaty was negotiated in 1794, peace was not yet firm on the western frontier, although the handwriting was on the wall following the battle at Fallen Timbers. Three years later, however, there was no danger of a continuing Indian war. Hence the Senecas were not in nearly as strong a position politically as they had been. The famous American financier Robert Morris had obtained the Massachusetts preemption right. He exercised his right to purchase lands west of the Phelps and Gorham purchase in 1797.",1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,241,11,Frontier,,,Unfortunately we lack details of his actions in the war on the Niagara frontier.,"The American commander in the engagement at Fort George on August 17, 1813, praised the Senecas for fighting with ""great bravery and activity"" (Ketchum 1864-65, 2:375). Among their opposition, John Norton, the Scot turned Mohawk chief, noted that the presence of the Senecas in the American forces there ""spread no small Dismay among the Warriors attached to the British Army,"" particularly alarming the Ojibwas because of the reputation the Iroquois still enjoyed as formidable fighting men. Despite his sixty years, Blacksnake was in these battles (Ketchum 1864-65, 2:326). He had volunteered his services at Buffalo in July 1813 (Kent and Deardorff 1960:455) or perhaps even earlier. In September 1812, 140 Senecas from the Allegheny River danced a war dance in the streets of Buffalo, indicating their willingness to fight for the Americans (Ketchum 1864-65, 2: 275).",Unfortunately we lack details of his actions in the war on the Niagara frontier. The old chief later told Lyman Draper that,1989
mdp.39015015505103,Chainbreaker : the Revolutionary War memoirs of Governor Blacksnake as told to Benjamin Williams /,295,5,Frontier,,,"Until this time the Onondagas had been largely neutral, but distinguishing among various Indian tribes has never been a frontier characteristic.","mained at home to have maintained food production if it had been almost solely a female task. 8. Relevant to Draper's conclusion that Turkey is John McDonell rather than John Butler is his report that Blacksnake had “no recollection about Turkey being along"" (DM 4-5-33). 9. The rebels had begun 1779 with an offensive action against the Onondagas.","Until this time the Onondagas had been largely neutral, but distinguishing among various Indian tribes has never been a frontier characteristic. Under the command of Colonel Goose Van Schaick an army of 558 left Fort Schuyler on April 18. With great stealth they managed to approach the neutral villages unnoticed. They killed a dozen Indians, captured thirty-three others, mostly women, and burned three towns. The Indians later complained of the rebel troops “using the Onondaga women for their own purposes” (Graymont 1972:196).",1989
mdp.39015016919378,Letters to Howard : an interpretation of the Alaska native land claims /,13,3,Frontier,,,"After all, what happened on the frontier in 1870 was not going to happen in the United States in 1970.","times known as the General Allotment Act, did irreparable damage to Native peoples under the guise of helping them to become better farmers and more civilized. The termination phase of Department of Interior might have phased out the B.I.A. and Indian tribes as well under the guise of Indian self-reliance. When we began to discuss these things in class, most of the students were aroused by the injustices, especially since they were at a distance both in time and space.","After all, what happened on the frontier in 1870 was not going to happen in the United States in 1970. After all, the Alaska Natives were going to receive one billion dollars and eighty million – or was it forty million acres in compensation? As we read through the provisions of AN ACT (Public Law 92-203), we began to get a different perception. While it may be true that under the political conditions of the day this was the best settlement that Alaska Natives could have gotten, we decided to look the gift horse in the mouth. The purpose is not to second guess the Native leadership who were faced with the impossible task of representing Alaska's diverse peoples in the negotiations and drafting of the bill, but rather to attempt to look to the future in an attempt to understand what forces this legislation will set loose in Alaska as far as the Native way of life is concerned.",1974
mdp.39015016919378,Letters to Howard : an interpretation of the Alaska native land claims /,110,6,Frontier,,last frontier,The Anchorage Daily Times said that Secretary Morton is visiting the last frontier and we can all see how Natives have been integrated into the American Way of Life.,"Maybe the Pipeline is being built by the Government for the religious purpose of preserving the American Economy, but now they won't need slaves since there are so many unemployed people. When I read that passage to Wally, he just laughed and asked me if the Pipeline would be visible from the Moon. He said that the Brazilian Government is building a 3,000 mile highway through the Amazon jungle which they claim will be one of the only man-made objects visible from the Moon. Wally also pointed out that the astronauts in the space satellite could see a big cloud of pollution from the Black Mesa power plant at Four Corners in the American Southwest. Wally said that the Brazilians claim they are opening the last frontier and integrating the Natives into the national society (and killing the rest).","The Anchorage Daily Times said that Secretary Morton is visiting the last frontier and we can all see how Natives have been integrated into the American Way of Life. First they take our land, water, game, and fish then our children — and if there is anything left they will build a museum or make a movie to preserve it. Well Howard, I guess we will have our monument if they have a nice big oil spill. Maybe they will be able to see it all the 104",1974
mdp.39015018334246,The ancient child : a novel /,214,4,Frontier,,,"She thought of the little Italian girl leaving her homeland to come to the New World, of the child giving her life over to God, of the young woman venturing into the wilderness, of her encounters with outlaws and men of the frontier, of her deep determination to live strictly according to her Christian conscience and to record her life as truly as she could.","born in Cicagna, Italy, in the Ligurian hills above Genoa, in 1850, and who had come to America as a child and had entered the motherhouse of the Sisters of Charity in Cincinnati, Ohio, in 1866. She was missioned to the West in 1872, and she had two gratuitous and unforgettable meetings with Billy the Kid, one at Trinidad, Colorado, and the other at Santa Fe, New Mexico Territory, both recorded with care in her diary. Grey imagined Sister Blandina through her long life. It was a life that attracted Grey strongly.","She thought of the little Italian girl leaving her homeland to come to the New World, of the child giving her life over to God, of the young woman venturing into the wilderness, of her encounters with outlaws and men of the frontier, of her deep determination to live strictly according to her Christian conscience and to record her life as truly as she could. Grey could appreciate all of this, and although she was not herself a Christian, she was drawn to Sister Blandina's example. To be a nun, she thought, that was to be in love; that was to be dedicated; that was to be spiritually alive. Had she not been Billy the Kid's companion and lover, had she not been the daughter of Walker (Spotted Horse Walking), had she not been a mask maker and the grandmother's chosen one, had she not been so clearly on the other side of the fence, as it were, she might easily have imagined herself Sister Blandina or Saint Theresa of Lisieux or Joan of Arc. Her imagination might have taken another turn, that is.",1989
