htid,title,person
njp.32101069164265,"The man-made world or, our androcentric culture ","Gilman, Charlotte Perkins 1860-1935 "
mdp.39015030116670,Women and economics ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.39015031325932,We are ten ,"Hurst, Fannie 1889-1968 "
mdp.39015032388160,Mother Earth ,"Goldman, Emma 1869-1940 ed. "
njp.32101075388585,Wandlungen und Symbole der Libido. English ,"Hinkle, Beatrice M. "
mdp.39015037032805,Mother Earth ,"Goldman, Emma 1869-1940 ed. "
mdp.39015079021856,Sabotage the conscious withdrawal of the workers' industrial efficiency ,"Flynn, Elizabeth Gurley. "
nnc2.ark:/13960/t2697td5p,Functional periodicity an experimental study of the mental and motor abilities of women during menstruation ,"Hollingworth, Leta Stetter 1886-1939 "
mdp.39015079234806,Suppressed desires a comedy in two episodes ,"Glaspell, Susan 1876-1948 "
mdp.39015080478582,Rebel ,"Goldman, Emma 1869-1940 "
mdp.39015080871877,The yellow wallpaper and selected writings ,"Gilman, Charlotte Perkins 1860-1935 "
nyp.33433068249691,The green bough a tale of the resurrection ,"Austin, Mary Hunter 1868-1934 "
nyp.33433074861695,Humoresque a laugh on life with a tear behind it ,"Hurst, Fannie 1889-1968 "
mdp.39015081407531,"Emma Goldman and Alexander Berkman, plaintiffs-in-error, against the United States, defendant-in-error. No.702. Brief on behalf of the plaintiffs-in-error ","Goldman, Emma 1869-1940 plaintiff-in-error. "
mdp.39015037836718,The later poetry of Charlotte Perkins Gilman ,"Gilman, Charlotte Perkins 1860-1935 "
nyp.33433075794671,Poems ,"Miller, Alice Duer 1874-1942 "
mdp.39015041887970,Ruby fruit jungle ,"Brown, Rita Mae. "
nyp.33433075968929,Are women people? A book of rhymes for suffrage times ,"Miller, Alice Duer 1874-1942 "
mdp.39015081761358,What we did to Bernard Carlin a true relation ,"Potter, Grace. "
nyp.33433076045941,The happiest time of their lives ,"Miller, Alice Duer 1874-1942 "
mdp.39015089262441,The Whole family ,"Vorse, Mary Heaton 1874-1966 "
mdp.39015041887970,Rubyfruit jungle ,"Brown, Rita Mae. "
mdp.39076001475149,The yellow wallpaper ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.39015046816974,Six of one ,"Brown, Rita Mae. "
mdp.39015046851773,"The Charlotte Perkins Gilman reader The yellow wallpaper, and other fiction ","Gilman, Charlotte Perkins 1860-1935 "
nyp.33433076047780,The Prestons ,"Vorse, Mary Heaton 1874-1966 "
nyp.33433076050750,The heart's country ,"Vorse, Mary Heaton 1874-1966 "
mdp.39076005019869,"The Charlotte Perkins Gilman reader The yellow wallpaper, and other fiction ","Gilman, Charlotte Perkins 1860-1935 "
mdp.39015047627354,A manual for observation and teaching in the elementary grades ,"Anthony, Katherine M. (Katherine Miner) "
nyp.33433076059025,When the highbrow joined the outfit ,"Putnam, Nina Wilcox 1888-1962 "
mdp.39076005039081,Toward the light ,"Fels, Mary Fels 1859- "
nyp.33433082032602,Mother earth ,"Goldman, Emma 1869-1940 "
mdp.49015001153148,Rubyfruit jungle ,"Brown, Rita Mae. "
mdp.49015001291039,"The Charlotte Perkins Gilman reader The yellow wallpaper, and other fiction ","Gilman, Charlotte Perkins 1860-1935 "
mdp.39015048572997,For-giving a feminist criticism of exchange ,"Morgan, Robin 1941- "
mdp.49015002159201,"Robert M. La Follette, June 14, 1855--June 18, 1925 ","La Follette, Fola. "
mdp.39015050804668,Claws and effect ,"Brown, Rita Mae. "
mdp.49015002218643,Living my life ,"Goldman, Emma 1869-1940 "
mdp.39015051318114,"""The yellow wallpaper"" and other stories ","Gilman, Charlotte Perkins 1860-1935 "
nyp.33433082032610,Mother earth ,"Goldman, Emma 1869-1940 "
mdp.49015002524149,Charlotte Perkins Gilman's Utopian novels ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.39015054429850,The crux a novel ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.49015002524149,Utopian novels ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.39015059415391,The beauty and the bolshevist ,"Miller, Alice Duer 1874-1942 "
mdp.39015061181338,What Diantha did ,"Gilman, Charlotte Perkins 1860-1935 "
nyp.33433082348123,Joseph Fels; his life-work ,"Fels, Mary (Fels) Mrs 1859- "
mdp.49015002694561,With her in Ourland sequel to Herland ,"Gilman, Charlotte Perkins 1860-1935 "
osu.32435012569687,Lost borders ,"Austin, Mary Hunter 1868-1934 "
mdp.49015003000024,Back street En marge de la vie : roman amÃƒÂ©ricain ,"Hurst, Fannie 1889-1968 "
mdp.39015063632155,Special talents and defects their significance for education ,"Hollingworth, Leta Stetter 1886-1939 "
osu.32435031112584,"Forerunner (New York, N.Y. : 1909) ","Gilman, Charlotte Perkins 1860-1935 "
mdp.49015003000024,En marge de la vie. French ,"Hurst, Fannie 1889-1968 "
mdp.39015063966132,Vocational psychology its problems and methods ,"Hollingworth, Leta Stetter 1886-1939 "
msu.31293010576316,Mother Earth bulletin ,"Goldman, Emma 1869-1940 "
mdp.39015065755970,Joseph Fels his life-work ,"Fels, Mary (Fels) 1859- "
osu.32435059517300,"Debs and Dennis, fighters for peace ","Flynn, Elizabeth Gurley. "
msu.31293022750826,"Supreme Court of the United States. October term, 1917. Emma Goldman and Alexander Berkman, plaintiffs-in-error, against the United States, defendant-in-error. No. 702 brief on behalf of the plaintiffs-in-error ","Goldman, Emma 1869-1940 "
mdp.39015066195788,Freedom ,"Glaspell, Susan 1876-1948 "
mdp.39015066844005,Essential Mary Austin a selection of Mary Austin's best writing ,"Austin, Mary Hunter 1868-1934 "
osu.32435071629596,Mother earth ,"Goldman, Emma 1869-1940 "
mdp.39015068648255,Meet the communists ,"Flynn, Elizabeth Gurley. "
osu.32435071629646,Mother earth ,"Goldman, Emma 1869-1940 "
msu.31293028297749,The impossible boy ,"Putnam, Nina Wilcox 1888-1962 "
mdp.39015068648669,Communists and the people summation speech to the jury in the Second Foley Square Smith Act trial of thirteen communist leaders ,"Flynn, Elizabeth Gurley. "
osu.32435071629745,Mother earth ,"Goldman, Emma 1869-1940 "
msu.31293104153576,Mother Earth bulletin ,"Goldman, Emma 1869-1940 "
mdp.39015068648685,13 communists speak to the court ,"Flynn, Elizabeth Gurley. "
msu.31293104153592,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
mdp.39015069766759,"Anarchism on trial speeches of Alexander Berkman and Emma Goldman before the United States District Court in the city of New York, July, 1917 ","Goldman, Emma 1869-1940 defendant. "
pst.000002507255,Mother earth bulletin ,"Goldman, Emma 1869-1940 "
mdp.39015069767005,Anarchism what it really stands for ,"Goldman, Emma 1869-1940 "
pst.000002542225,"Mother earth, a monthly magazine devoted to the social science and literature ","Goldman, Emma 1869-1940 "
mdp.39015070218832,In Lockerbie street a little appreciation of James Whitcomb Riley ,"Daggett, Mabel Potter 1871-1927 "
pst.000006076702,Fidelity ,"Glaspell, Susan 1876-1948 "
msu.31293104153600,Mother Earth bulletin ,"Goldman, Emma 1869-1940 "
mdp.39015070895316,Staking ,"Vorse, Mary Heaton 1874-1966 "
pst.000006960001,Women and economics a study of the economic relation between men and women as a factor in social evolution ,"Gilman, Charlotte Perkins 1860-1935 "
mdp.39015073373766,The social significance of the modern drama ,"Goldman, Emma 1869-1940 "
pst.000012501779,"Mother earth, a monthly magazine devoted to the social science and literature ","Goldman, Emma 1869-1940 "
pst.000012501786,Mother earth bulletin ,"Goldman, Emma 1869-1940 "
pst.000012501793,"Mother earth, a monthly magazine devoted to the social science and literature ","Goldman, Emma 1869-1940 "
njp.32101015307257,Mother earth ,"Goldman, Emma 1869-1940 "
njp.32101063580656,Star dust ,"Hurst, Fannie 1889-1968 "
pst.000020422189,Canoeing guide to western Pennsylvania and northern West Virginia ,"Shaw, Mary M. 1943- "
pst.000021567094,Wandlungen und Symbole der Libido. English ,"Hinkle, Beatrice M. "
pst.000024116589,"Free-wheeling easy in western Pennsylvania motor-free trails for cyclists and walkers : rail-trails, greenways, towpaths, and other motor-free bicycle touring routes in and around western Pennsylvania ","Shaw, Mary. "
mdp.39015073983028,The purrfect murder ,"Brown, Rita Mae. "
pst.000029587087,Anatomy of me a wondered in search of herself ,"Hurst, Fannie 1889-1968 "
mdp.39015074131627,Public addresses ,"Hollingworth, Leta Stetter 1886-1939 "
mdp.39015078803114,Correspondence. Selections ,"Gilman, Charlotte Perkins 1860-1935 "
pst.000047158177,Freewheeling easy in and around western Pennsylvania ,"Shaw, Mary. "
mdp.39076001234264,"Emma Goldman and the American left ""Nowhere at home"" ","Goldman, Emma 1869-1940 "
mdp.49015002604990,Time and the town a Provincetown chronicle ,"Vorse, Mary Heaton 1874-1966 "
miua.2917032.0001.001,Deportation: Its Meaning and Menace Last Message to the People of America ,"Goldman, Emma 1869-1940 "
uc1.$b103185,Anywoman ,"Hurst, Fannie 1889-1968 "
uc1.$b103232,Mannequin ,"Hurst, Fannie 1889-1968 "
msu.31293010828923,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
uc1.$b106272,Summer holiday a selection of the novels and stories of Alice Duer Miller ,"Miller, Alice Duer 1874-1942 "
msu.31293018513733,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
msu.31293104872845,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
uc1.$b116706,Best short stories from the Southwest ,"Austin, Mary Hunter 1868-1934 "
njp.32101067628485,The lovely lady ,"Austin, Mary Hunter 1868-1934 "
uc1.$b238723,Joseph Fels; his life-work ,"Fels, Mary (Fels) Mrs 1859- "
uc1.$b242960,Fidelity a novel ,"Glaspell, Susan 1882-1948 "
njp.32101063580656,Star-dust the story of an American girl ,"Hurst, Fannie 1889-1968 "
uc1.$b248099,Lost borders ,"Austin, Mary Hunter 1868-1934 "
njp.32101066459262,The verge a play in three acts ,"Glaspell, Susan 1876-1948 "
uc1.$b248101,One-smoke stories ,"Austin, Mary Hunter 1868-1934 "
njp.32101066964469,"Woman suffrage history, arguments, and results. A collection of seven popular booklets covering together practically the entire field of suffrage claims and evidence. Designed especially for the convenience of suffrage speakers and writers and for the use of debaters and libraries ","Maule, Frances 1879-1966 ed. "
uc1.$b265232,Your next job how to get it and hold it ,"Maule, Frances 1879-1966 "
aeu.ark:/13960/t8cg0xr08,In search of Arcady ,"Putnam, Nina Wilcox 1888-1962 "
njp.32101074714146,Library work with the blind ,"Chamberlain, Mary C. "
njp.32101075388585,Psychology of the unconscious a study of the transformations and symbolisms of the libido : a contribution to the history of the evolution of thought ,"Hinkle, Beatrice M. "
njp.32101068598661,"In this our world, and other poems ","Gilman, Charlotte Perkins 1860-1935 "
uc1.$b266351,The psychology of the adolescent ,"Hollingworth, Leta Stetter 1886-1939 "
uc1.$b268511,Drink: coercion or control? ,"Dorr, Rheta Childe 1866-1948 "
nyp.33433074901863,Less than kin ,"Miller, Alice Duer 1874-1942 "
njp.32101074687698,The sex side of life ,"Dennett, Mary Ware 1872-1947 "
uc1.$b272701,Short stories for class reading ,"Hurst, Fannie 1889-1968 "
nyp.33433008947727,Work-accidents and the law ,"Eastman, Crystal 1881-1928 "
uc1.$b273573,"The American rhythm studies and reeÃŒË†xpressions of Amerindian songs, by Mary Austin ","Austin, Mary Hunter 1868-1934 "
uc1.$b274290,Christ in Italy being the adventures of a maverick among masterpieces ,"Austin, Mary Hunter 1868-1934 "
nyp.33433075968754,Concerning children ,"Gilman, Charlotte Perkins 1860-1935 "
uc1.$b274892,Poems ,"Miller, Alice Duer 1874-1942 "
nyp.33433022469724,The home its work and influence ,"Gilman, Charlotte Perkins 1860-1935 "
nyp.33433076045933,Ladies must live ,"Miller, Alice Duer 1874-1942 "
uc1.$b297270,"She strives to conquer business behavior, opportunities and job requirements for women ","Maule, Frances 1879-1966 "
nyp.33433076045974,The beauty and the bolshevist ,"Miller, Alice Duer 1874-1942 "
nyp.33433062727189,The California earthquake of 1906 ,"Austin, Mary Hunter 1868-1934 "
nyp.33433076059835,Adam's garden a novel ,"Putnam, Nina Wilcox 1888-1962 "
nyp.33433070307149,The man Jesus being a brief account of the life and teaching of the Prophet of Nazareth ,"Austin, Mary Hunter 1868-1934 "
uc1.$b297634,Men wanted the new opportunities and what they demand ,"Maule, Frances 1879-1966 "
nyp.33433076059850,In search of Arcady ,"Putnam, Nina Wilcox 1888-1962 "
nyp.33433075936108,Human work ,"Gilman, Charlotte Perkins 1860-1935 "
uc1.$b301867,Manslaughter ,"Miller, Alice Duer 1874-1942 "
nyp.33433076089691,The visioning a novel ,"Glaspell, Susan 1876-1948 "
uc1.$b319478,Inside the Russian revolution ,"Dorr, Rheta Childe 1866-1948 "
nyp.33433076089717,The glory of the conquered the story of a great love ,"Glaspell, Susan 1876-1948 "
nyp.33433075964175,Women and economics a study of the economic relation between men and women as a factor in social evolution ,"Gilman, Charlotte Perkins 1860-1935 "
uc1.$b399067,A footnote to folly reminiscences of Mary Heaton Vorse ,"Vorse, Mary Heaton 1874-1966 "
nyp.33433084130107,The ford ,"Austin, Mary Hunter 1868-1934 "
nyp.33433075971832,"The home, its work and influence ","Gilman, Charlotte Perkins 1860-1935 "
uc1.$b56770,Lonely parade ,"Hurst, Fannie 1889-1968 "
uc1.$b669124,Joseph Fels; his life-work ,"Fels, Mary (Fels) Mrs 1859- "
uc1.$b727146,Fourteen of them ,"Hurst, Fannie 1889-1968 "
uc1.31158005940811,The Forerunner ,"Gilman, Charlotte Perkins 1860-1935 "
osu.32435013861083,"The Suppression of free speech in New York and in New Jersey being a true account by eye witnesses of law-breaking by the Police Department of New York City, at Lexington Hall, on May 23, 1909, by the City Authorities of East Orange, at English's Hall, on June 8, 1909 ","Goldman, Emma 1869-1940 "
uc1.31175000147259,Women and economics a study of the economic relation between men and women as a factor in social evolution ,"Gilman, Charlotte Perkins 1860-1935 "
osu.32435018129486,When the highbrow joined the outfit ,"Putnam, Nina Wilcox 1888-1962 "
osu.32435054160171,In this our world ,"Gilman, Charlotte Perkins 1860-1935 "
uc1.31175003560466,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
uc1.31175007286241,Freedom ,"Glaspell, Susan 1876-1948 "
osu.32435055142814,"Our friends, the anti-suffragists ","Shaw, Mary. "
uc1.31210002105342,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
nyp.33433076045925,The modern obstacle ,"Miller, Alice Duer 1874-1942 "
osu.32435055142921,The parrot cage a play in one act ,"Shaw, Mary 1854-1929 "
uc1.31210002578043,Mother Earth bulletin ,"Goldman, Emma 1869-1940 "
nyp.33433076045958,Come out of the kitchen! A romance ,"Miller, Alice Duer 1874-1942 "
osu.32435056494610,Woman's place in the fight for a better world ,"Flynn, Elizabeth Gurley. "
uc1.31210002578043,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
nyp.33433076045966,The charm school ,"Miller, Alice Duer 1874-1942 "
osu.32435071629208,Mother earth ,"Goldman, Emma 1869-1940 "
uc1.31210002608865,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
nyp.33433076047806,I have come to stay ,"Vorse, Mary Heaton 1874-1966 "
osu.32435071629943,Mother earth ,"Goldman, Emma 1869-1940 "
uc1.31210022803231,Nutrition to grow on a garden-enhanced nutrition education curriculum for upper elementary school children ,"Shaw, Mary. "
uc1.31822011178316,"Birds of a feather an entertainment in one act (based on the poem ""Similar cases"" by Charlotte Perkins S. Gilman) ","Gilman, Charlotte Perkins 1860-1935 "
nyp.33433076047806,I've come to stay a love comedy of Bohemia ,"Vorse, Mary Heaton 1874-1966 "
nyp.33433082032594,Mother earth ,"Goldman, Emma 1869-1940 "
uc1.31822031024946,A beautiful idea ,"Goldman, Emma 1869-1940 "
nyp.33433082171301,In this our world ,"Gilman, Charlotte Perkins 1860-1935 "
uc1.32106001179800,The young woman citizen ,"Austin, Mary Hunter 1868-1934 "
nyp.33433082400106,Inside the Russian revolution ,"Dorr, Rheta Childe 1866-1948 "
osu.32435071629992,Mother earth ,"Goldman, Emma 1869-1940 "
uc1.32106005373920,Six of one ,"Brown, Rita Mae. "
uc1.32106008054337,The land of journey's ending ,"Austin, Mary Hunter 1868-1934 "
nyp.33433084130081,A woman of genius ,"Austin, Mary Hunter 1868-1934 "
uc1.32106014848623,Bingo ,"Brown, Rita Mae "
uc1.a0008044513,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
pst.000002542126,"Mother earth, a monthly magazine devoted to the social science and literature ","Goldman, Emma 1869-1940 "
nyp.33433112009067,The burglar and the blizzard a Christmas story ,"Miller, Alice Duer 1874-1942 "
uc1.a0008044521,Mother Earth bulletin ,"Goldman, Emma 1869-1940 "
uc1.a0008044554,Mother Earth bulletin ,"Goldman, Emma 1869-1940 "
osu.32435031112584,The Forerunner A monthly magazine ,"Gilman, Charlotte Perkins 1860-1935 "
uc1.a0008044554,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
pst.000006076719,The glory of the conquered the story of a great love ,"Glaspell, Susan 1876-1948 "
osu.32435063483309,"Daughters of America Ella Reeve Bloor, Anita Whitney ","Flynn, Elizabeth Gurley. "
uc1.a0008044588,Mother Earth bulletin ,"Goldman, Emma 1869-1940 "
osu.32435071628861,Mother earth ,"Goldman, Emma 1869-1940 "
osu.32435071629059,Mother earth ,"Goldman, Emma 1869-1940 "
pst.000010574034,"Mother earth, a monthly magazine devoted to the social science and literature ","Goldman, Emma 1869-1940 "
osu.32435071629109,Mother earth ,"Goldman, Emma 1869-1940 "
uc1.a0008044588,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
pst.000010574041,"Mother earth, a monthly magazine devoted to the social science and literature ","Goldman, Emma 1869-1940 "
osu.32435071629497,Mother earth ,"Goldman, Emma 1869-1940 "
uc1.b003004594,"Victims of Morality, and The Failure of Christianity two lectures ","Goldman, Emma 1869-1940 "
pst.000010591727,A map of vernacular regions in America ,"Hale, Ruth Feser 1928- "
uc1.b3136556,The glory of the conquered the story of a great love ,"Glaspell, Susan 1876-1948 "
osu.32435071629844,Mother earth ,"Goldman, Emma 1869-1940 "
uc1.b3142974,Labor's new millions ,"Vorse, Mary Heaton 1874-1966 "
pst.000010965672,"Canoeing guide, western Pennsylvania and northern West Virginia ","Shaw, Mary M. 1943- "
osu.32435071629893,Mother earth ,"Goldman, Emma 1869-1940 "
pst.000012501762,Mother earth bulletin ,"Goldman, Emma 1869-1940 "
pst.000001731477,Our androcentric culture ,"Gilman, Charlotte Perkins 1860-1935 "
uc1.b3339860,...and our little life ,"Rauh, Ida. "
uc1.b3477996,Santa Lucia a common story ,"Austin, Mary Hunter 1868-1934 "
pst.000012501762,"Mother earth, a monthly magazine devoted to the social science and literature ","Goldman, Emma 1869-1940 "
uc1.b3553129,Things ,"Miller, Alice Duer Mrs 1874- "
pst.000047158610,Linking up planning your traffic-free bike trip between Pittsburgh Pa. and Washington DC ,"Shaw, Mary. "
pst.000002507255,"Mother earth, a monthly magazine devoted to the social science and literature ","Goldman, Emma 1869-1940 "
uc1.b3687986,Anitra's dance ,"Hurst, Fannie 1889-1968 "
txu.059173004362019,Narratives of exile and return ,"Chamberlain, Mary 1947- "
uc1.b3955141,Experiences facing death ,"Austin, Mary Hunter 1868-1934 "
txu.059173018584063,According to our ancestors folk texts from Guatemala and Honduras ,"Shaw, Mary 1921- "
pst.000002542072,Mother earth bulletin ,"Goldman, Emma 1869-1940 "
pst.000002542171,Mother earth bulletin ,"Goldman, Emma 1869-1940 "
uc1.b4351453,The powers of Charlotte a novel ,"Lazarre, Jane. "
uc1.b4462193,Time and the town a Provincetown chronicle ,"Vorse, Mary Heaton 1874-1966 "
uc1.$b102652,Norma Ashe a novel ,"Glaspell, Susan 1876-1948 "
uc1.b4538981,Writing lives conversations between women writers ,"Chamberlain, Mary 1947- "
uc1.$b103182,Humoresque a laugh on life with a tear behind it ,"Hurst, Fannie 1889-1968 "
pst.000002542225,Mother earth bulletin ,"Goldman, Emma 1869-1940 "
uc1.b4938141,Ford Madox Ford and the voice of uncertainity ,"Snitow, Ann Barr 1943- "
uc1.$b103184,Every soul hath its song ,"Hurst, Fannie 1889-1968 "
uc1.c045724666,Roberta ,"Miller, Alice Duer 1874-1942 "
uc1.$b110636,The man Jesus being a brief account of the life and teaching of the Prophet of Nazareth ,"Austin, Mary Hunter 1868-1934 "
pst.000006153243,Come out of the kitchen ,"Miller, Alice Duer 1874-1942 "
uc1.c081891285,"The man-made world or, Our androcentric culture ","Gilman, Charlotte Perkins 1860-1935 "
pst.000008019387,Mother earth bulletin ,"Goldman, Emma 1869-1940 "
pst.000010965672,Canoeing guide ,"Shaw, Mary M. 1943- "
uc2.ark:/13960/t1dj59g7k,The vertical city ,"Hurst, Fannie 1889-1968 "
pst.000012501779,Mother earth bulletin ,"Goldman, Emma 1869-1940 "
pst.000012501786,"Mother earth, a monthly magazine devoted to the social science and literature ","Goldman, Emma 1869-1940 "
pst.000012501793,Mother earth bulletin ,"Goldman, Emma 1869-1940 "
uc2.ark:/13960/t1fj2bb7c,Outland ,"Austin, Mary Hunter 1868-1934 "
uc2.ark:/13960/t42r3q473,Autobiography of an elderly woman ,"Vorse, Mary Heaton 1874-1966 "
coo.31924009072624,"The man-made world or, our androcentric culture ","Gilman, Charlotte Perkins 1860-1935 "
uc2.ark:/13960/t4hm5vn3z,Inside the Russian revolution ,"Dorr, Rheta Childe 1866-1948 "
pst.000015171955,Arts in education the use of drama and narrative : a study of outcomes ,"Young, Rosemary Elaine. "
uc1.$b110637,A small town man ,"Austin, Mary Hunter 1868-1934 "
uc2.ark:/13960/t4vh5dp4k,The verge a play in three acts ,"Glaspell, Susan 1876-1948 "
pst.000017075145,Men and steel y Mary Heaton Vorse ,"Vorse, Mary Heaton 1873?-1966 "
uc2.ark:/13960/t6zw1b92m,The ninth man a story ,"Vorse, Mary Heaton 1874-1966 "
pst.000024116589,Freewheeling easy in western Pennsylvania ,"Shaw, Mary. "
pst.000047158177,"Free-wheeling easy in and around western Pennsylvania motor-free trails for cyclists, walkers, and cross-country skiers ","Shaw, Mary. "
uc2.ark:/13960/t80k27v54,Are women people? A book of rhymes for suffrage times ,"Miller, Alice Duer 1874-1942 "
txu.059172132444245,Hispanic heritage an annotated bibliography ,"Shaw, Mary Martha. "
uc2.ark:/13960/t8kd1sj4d,It pays to smile ,"Putnam, Nina Wilcox 1888-1962 "
uc2.ark:/13960/t93777h6s,The arrow-maker a drama in three acts ,"Austin, Mary Hunter 1868-1934 "
uc1.$b21085,Love and the soul maker ,"Austin, Mary Hunter 1868-1934 "
uc1.$b242947,Lifted masks ,"Glaspell, Susan 1876-1948 "
uc1.$b267676,"The record of the Leslie woman suffrage commission, inc., 1917-1929 ","Young, Rose E. (Rose Emmet) 1869-1941 "
uc1.$b273572,The American rhythm ,"Austin, Mary Hunter 1868-1934 "
uc1.$b280665,The road to anywhere opportunities in secretarial work ,"Maule, Frances 1879-1966 "
uc1.$b28766,The land of journeys' ending ,"Austin, Mary Hunter 1868-1934 "
uc1.$b299166,The springboard a comedy in three acts ,"Miller, Alice Duer Mrs 1874- "
uc1.$b21475,The sex education of children a book for parents ,"Dennett, Mary Ware 1872-1947 "
uc1.$b300958,The vertical city ,"Hurst, Fannie 1889-1968 "
uc1.$b308877,The psychology of subnormal children ,"Hollingworth, Leta Stetter 1886-1939 "
uc1.$b319451,The people and Close the book two one-act plays ,"Glaspell, Susan 1882-1948 "
uc1.$b21563,A woman of fifty ,"Dorr, Rheta Childe 1866-1948 "
uc1.$b50293,The living of Charlotte Perkins Gilman an autobiography ,"Gilman, Charlotte Perkins 1860-1935 "
uc1.$b242010,The young woman citizen ,"Austin, Mary Hunter 1868-1934 "
uc2.ark:/13960/t95719531,The basket woman; a book of Indian tales for children ,"Austin, Mary Hunter 1868-1934 "
uc1.$b242959,Brook Evans ,"Glaspell, Susan 1876-1948 "
uc1.$b554079,Red Emma speaks selected writings and speeches ,"Goldman, Emma 1869-1940 "
uc2.ark:/13960/t9n29qp79,The charm school a comedy in three acts ,"Miller, Alice Duer Mrs 1874- "
uc1.$b243505,Ladies must live ,"Miller, Alice Duer 1874-1942 "
uc1.31175000464571,Mother Earth bulletin ,"Goldman, Emma 1869-1940 "
uc1.$b248094,Starry adventure ,"Austin, Mary Hunter 1868-1934 "
uc1.31175003560466,Mother Earth bulletin ,"Goldman, Emma 1869-1940 "
uc2.ark:/13960/t9v11wg18,The arrow-maker a drama in three acts ,"Austin, Mary Hunter 1868-1934 "
uc1.$b248213,Wreckage a play in one act ,"Vorse, Mary Heaton 1874-1966 "
uc1.31175003560474,Mother Earth bulletin ,"Goldman, Emma 1869-1940 "
ucw.ark:/13960/t8kd27x81,Wandlungen und Symbole der Libido. English ,"Hinkle, Beatrice M. "
uc1.$b253945,The arrow-maker a drama in three acts ,"Austin, Mary Hunter 1868-1934 "
uc1.31175003560482,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
umn.319510005189808,In her day ,"Brown, Rita Mae. "
uc1.$b266529,His religion and hers a study of the faith of our fathers and the work of our mothers ,"Gilman, Charlotte Perkins 1860-1935 "
umn.319510008306128,Library work with the blind ,"Chamberlain, Mary C. "
uc1.$b269493,Are women people? A book of rhymes for suffrage times ,"Miller, Alice Duer 1874-1942 "
umn.319510015321854,Women at work a tour among careers ,"Maule, Frances 1879-1966 "
uc1.31175007286241,Enemies ,"Glaspell, Susan 1876-1948 "
umn.31951d00826584d,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
umn.31951p010727463,Mother Earth bulletin ,"Goldman, Emma 1869-1940 "
uc1.31175007286241,Suppressed desires ,"Glaspell, Susan 1876-1948 "
umn.31951p010727463,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
uc1.31175035230195,In this our world poems and sonnets ,"Gilman, Charlotte Perkins 1860-1935 "
uc1.$b298617,Plays ,"Glaspell, Susan 1876-1948 "
uc1.$b299115,Laughter limited ,"Putnam, Nina Wilcox 1888-1962 "
uc1.31210002105359,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
wu.89031143332,Motive ,"Morgan, Robin 1941- "
wu.89069672277,"The descendants of Francis Muncy I with genealogy of allied families of Adams, Brewster, Ludlow, Skidmore, Smith, Anderson, Wheatly, Wynn, Blankenship, Dickason, Harvey, Morris, Southgate, Craven, Harrison, Helton (Hilton), Davenport, Bullock, Brantley, Brown, Connell, Wells ","Shaw, Mary Edith (Bullock) 1883- comp. "
wu.89092546753,Marriage and love ,"Goldman, Emma 1869-1940 "
wu.89092596550,"Preparedness, the road to universal slaughter ","Goldman, Emma 1869-1940 "
uc1.$b306700,Careers for the home economist fields which offer openings to the girl with modern training in the homemaking arts ,"Maule, Frances 1879-1966 "
wu.89098850662,Everyman's genius ,"Austin, Mary Hunter 1868-1934 "
uc1.$b307385,The woman who wouldn't ,"Stokes, Rose Pastor 1879-1933 "
uc1.$b312610,The Sturdy oak a composite novel of American politics ,"Austin, Mary Hunter 1868-1934 "
wu.89098878929,The flock ,"Austin, Mary Hunter 1868-1934 "
uc1.31210002577813,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
uc1.$b312739,Fraycar's fist ,"Vorse, Mary Heaton 1874-1966 "
uc1.31210002577821,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
uc1.$b319451,Close the book ,"Glaspell, Susan 1882-1948 "
uc1.31210002577920,"Mother Earth, monthly magazine devoted to social science and literature ","Goldman, Emma 1869-1940 "
uc1.$b379893,Women are people! ,"Miller, Alice Duer Mrs 1874- "
