htid,title,org
mdp.39015014686474,The Intercollegian ,Young Women's Christian Associations National Student Council. 
inu.30000120951524,Guide to candidate debates ,League of Women Voters (U.S.) Education Fund. 
mdp.39015012948520,"The new nightingales hospital workers, unions, new women's issues ",Coalition of Labor Union Women (U.S.) 
inu.30000120951532,Talking trash a citizen education guide for community leaders and activists ,League of Women Voters (U.S.) Education Fund. 
mdp.39015016121058,"A job at the end guidelines for teen counseling, training and career development ",Young Women's Christian Association of the U.S.A National Board. 
mdp.39015016256094,Know your schools a book of factual information about public education available to children in the Ann Arbor School District ,League of Women Voters of Ann Arbor 
mdp.39015016282959,Directory of community services projects ,National Council of Jewish Women Community Services Dept. 
inu.32000006241071,NUC newsletter ,New University Conference (U.S.) Indiana University. 
inu.39000001761803,Striking against apartheid new moves in the struggle for Southern Africa ,Socialist Workers' Party (Great Britain) 
inu.39000003203002,Choosing the president ,League of Women Voters 
inu.39000005938845,IWW songs ,Industrial Workers of the World 
mdp.39015016412630,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
loc.ark:/13960/t1rf6679m,"Continuous mediation without armistice a development of the idea of a continuous conference of neutral nations, which has occurred independently to others besides the author of the pamphlet ",Woman's Peace Party 
mdp.39015016230594,Children without justice a report ,National Council of Jewish Women 
mdp.39015019767907,Year book ,Woman's Peace Party 
mdp.39015019608481,The Los Angeles Public Library [a study within the context of city government] ,League of Women Voters of Los Angeles 
loc.ark:/13960/t48p6rs4w,Recreation survey of Cincinnati ,Juvenile protective association of Cincinnati. [from old catalog] 
mdp.39015019992554,The Amalgamated in Cincinnati a record of struggle and achievement ,Amalgamated Clothing Workers of America Cincinnati joint board. 
mdp.39015022404027,The role of the YWCA in a changing era the YWCA study of YMCA-YWCA cooperative experiences ,Young Women's Christian Association of the U.S.A National Board. 
mdp.39015000698152,Proceedings of the ... annual convention of the Industrial Workers of the World ,Industrial Workers of the World 
mdp.39015022477197,"Housing for women in war work report of the Housing committee of the War work council, Young women's Christian association, January, 1918 ",Young Women's Christian Association of the U.S.A National Board. War Work Council. Housing Committee. 
mdp.39015024342571,"Joseph Michaels, Morley A. Stern et al. plaintiffs, against Sidney Hillman, individually and as president of the Amalgamated Clothing Workers of America, et al., defendants Memorandum of law. O'Brien & Powell, attorneys for defendants. Felix Frankfurter, E. R. Buckner, G. C. Henderson, Robert Szold, Max Lowenthal, of counsel ",Amalgamated Clothing Workers of America defendant. 
mdp.39015024575923,The Intercollegian ,Young Women's Christian Associations National Student Council. 
mdp.39015024575956,The Intercollegian ,Young Women's Christian Associations National Student Council. 
mdp.39015002276569,"Racism, IQ, and the class society ",Progressive Labor Party 
mdp.39015024575964,The Intercollegian ,Young Women's Christian Associations National Student Council. 
mdp.39015032426325,The Nuclear waste primer ,League of Women Voters (U.S.) Education Fund. 
mdp.39015002672783,"Amalgamated centre, the tailor re-tailored a story of surging humanity, 1910-1928 ",Amalgamated Clothing Workers of America Chicago Joint Board. 
mdp.39015032639703,The Christian approach to social morality ,Young Women's Christian Association of the U.S.A National Board. 
mdp.39015004279660,Revolution today: U.S.A a look at the progressive labor movement and the Progressive Labor Party ,Progressive Labor Party 
mdp.39015033599104,Washtenaw County government a pamphlet of factual information ,League of women voters of Ann Arbor 
mdp.39015034356264,Massachusetts State government ,League of Women Voters of Massachusetts 
mdp.39015038783075,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
mdp.39015005558443,Women in industry in the Orient a source book ,Young Women's Christian Association of the U.S.A National Board. Industrial department. 
mdp.39015049014759,"Bibliography of articles, books and source material on the Amalgamated clothing workers of America ",Amalgamated Clothing Workers of America Research dept. 
mdp.39015012070267,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
mdp.39015049035176,The Intercollegian ,Young Women's Christian Associations National Student Council. 
mdp.39015014733318,"Platforms of the national Republican and Democratic parties, 1928 ",League of Women Voters (U.S.) 
mdp.39015049749867,Partners in play recreation for young men and women together ,Young Women's Christian Association of the U.S.A National Board. 
mdp.39015050621823,A citizen's guide to Louisiana government ,League of Women Voters of Louisiana 
mdp.39015024575931,The Intercollegian ,Young Women's Christian Associations National Student Council. 
mdp.39015014867397,"The book of the Amalgamated in New York, 1914-1940 presented to the Twnety-fifth anniversary convention of the Amalgamated clothing workers of America ",Amalgamated Clothing Workers of America New York Joint Board. 
mdp.39015024575949,The Intercollegian ,Young Women's Christian Associations National Student Council. 
mdp.39015050646861,"Key to the Keystone State, Pennsylvania ",League of Women Voters of Pennsylvania 
mdp.39015053413491,"Papers, 1958-1970 ",Students for a Democratic Society (U.S.) 
mdp.39015018053143,"Working with unattached youth: problem, approach, method the report of an enquiry into the ways and means of contacting and working with unattached young people in an Inner London Borough ",Young Women's Christian Associations London. 
mdp.39015028109299,Illinois manual of laws affecting women and children ,Juvenile protective association of Chicago 
mdp.39015053413491,"SDS papers, 1958-1970 ",Students for a Democratic Society (U.S.) 
mdp.39015019635906,"The Student voice, 1960-1965 periodical of the Student Nonviolent Coordinating Committee ",Student Nonviolent Coordinating Committee (U.S.) 
mdp.39015057948633,The Connecticut citizen's handbook a guide to the state government ,League of Women Voters of Connecticut Education Fund. 
mdp.39015024462882,Annual catalogue ,Young Women's Christian Association U.S. National training school. 
mdp.39015030798790,Financing Ohio's election campaigns [a look at the 1974 Ohio General Assembly candidates] ,League of Women Voters of Ohio 
mdp.39015024575899,The Intercollegian ,Young Women's Christian Associations National Student Council. 
mdp.39015063639457,"Jesus, the man of Galilee studies in the life of Jesus arranged for secondary school students--adapted both to class use and personal study ",Young Women's Christian Association of the U.S.A National Board. 
mdp.39015032639703,Consecration of the affections ,Young Women's Christian Association of the U.S.A National Board. 
mdp.39015024575915,The Intercollegian ,Young Women's Christian Associations National Student Council. 
mdp.39015065677711,"Bibliography of source material, articles, and books on the Amalgamated clothing workers of America ",Amalgamated Clothing Workers of America Research Dept. 
mdp.39015032765763,A hand book on positive health ,Young Women's Christian Association of the U.S.A National Board. Bureau of social education. 
mdp.39015027011868,Toward better race relations ,Young Women's Christian Association of the U.S.A National Board. Dept. of Data and Trends. 
mdp.39015033580997,"Printing and the renaissance a paper read before the Fortnightly club of Rochester, New York, by John Rothwell Slater ","Fortnightly Club (Rochester, N.Y.) "
mdp.39015050646887,New Jersey spotlight on government ,League of Women Voters of New Jersey 
mdp.39015028064650,What should be done for Chicago's women offenders? ,Juvenile protective association of Chicago 
mdp.39015051310038,Interracial practices in community Y. W. C. A.'s a study under the auspices of the Commission to gather interracial experience ,Young Women's Christian Association of the U.S.A National Board. Commission to Gather Interracial Experience. 
mdp.39015054100584,The State we're in a citizen's guide to Michigan State government ,League of Women Voters of Michigan 
mdp.39015028126897,"The Hart, Schaffner & Marx labor agreement industrial law in the clothing industry ",Amalgamated Clothing Workers of America 
mdp.39015055432671,"Agreement between clothing manufacturers of New York and Amalgamated Clothing Workers of America, establishing an unemployment insurance fund ",Amalgamated Clothing Workers of America 
mdp.39015030063989,"Leading film discussions a guide to using films for discussion, training leaders, planning effective programs ",League of Women Voters of the City of New York 
mdp.39015057948633,Connecticut in focus ,League of Women Voters of Connecticut Education Fund. 
mdp.39015060825240,Starving amidst too much & other IWW writings on the food industry ,Industrial Workers of the World 
mdp.39015038783083,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
mdp.39015039330082,"Cincinnati, then and now ",League of Women Voters of Cincinnati 
mdp.39015063089000,Options for living arrangements housing alternatives for the elderly ,National Council of Jewish Women Task Force on Aging. 
mdp.39015042601487,"Choosing the president, 1984 ",League of Women Voters (U.S.) Education Fund. 
mdp.39015063778362,Is politics your job? ,League of Women Voters (U.S.) 
mdp.39015065748199,Hard choices the realities of economic development at home and abroad ,League of Women Voters (U.S.) 
mdp.39015054107258,"La Leche League at the crossroads of medicine, feminism, and religion ",La Leche League International 
mdp.39015070584852,"Public welfare a study of public welfare and the relationship of federal, state, and local programs, consensus workbook ",League of Women Voters of Michigan 
mdp.39015063893054,A study of mentally defective children in Chicago ,Juvenile protective association of Chicago 
mdp.39015069452905,"They represent you in Washington, in Albany, in New York City ",League of Women Voters of the City of New York 
mdp.39015069746074,Evolution of American agriculture ,Industrial Workers of the World 
mdp.39015071177250,Legislative action handbook ,League of Women Voters of Michigan 
mdp.39015071115276,"Know your city a book of factual information about the city of Ann Arbor, Michigan ",League of Women Voters of the Ann Arbor Area 
mdp.39015071122017,"Support a platform for constitutional revisions which will provide a basic framework for state government free of statutory detail #63 1961 state item I resource kit, volume II, constitutional aspects of taxation ",League of Women Voters of Michigan 
mdp.39015071179587,From the grass roots - citizens in government because democracy is not a spectator sport ,League of Women Voters of Michigan 
mdp.39015071179678,The state we're in a citizen's guide to Michigan state government ,League of Women Voters of Michigan 
mdp.39015071179678,Citizen's guide to Michigan state government ,League of Women Voters of Michigan 
mdp.39015071175502,"Con-Con story the campaign for a Constitutional Convention in Michigan, 1957-58 ",League of Women Voters of Michigan 
mdp.39015071180114,"Listen, Lansing-- League of Women Voters guide for citizen action in Michigan including legislative directory ",League of Women Voters of Michigan 
mdp.39015071176310,"Support a platform for constitutional revisions which will provide a basic framework for state government free of statutory detail 1961-63 state item I resource kit, volume I ",League of Women Voters of Michigan 
mdp.39015071292091,Facts about Bloomfield Hills Schools ,League of Women Voters of Birmingham-Bloomfield 
mdp.39015071299484,"Local government in Kent County the county, the township, the school district ",League of Women Voters of Grand Rapids 
mdp.39015071189206,Lake Erie: requiem or reprieve a study of Lake Erie problems ,League of Women Voters (U.S.) Lake Erie Basin Committee 
mdp.39015071302569,"Citizen's guide to local government Avon, Oakland, and Pontiac Townships, Village of Lake Angelus, City of Rochester ",League of Women Voters (U.S.) Education Fund. 
mdp.39015071225158,"How industrial unionism was won the great Flint sit-down strike against General Motors, 1936-1937 ",Progressive Labor Party 
mdp.39015071179587,From the grass roots - citizens in government because democracy is not a spectator sport ,League of Women Voters of Michigan Education Fund. 
mdp.39015071179611,The green grass roots a political notebook for people who want to participate ,League of Women Voters of Michigan 
mdp.39015071179629,The Green grass roots a notebook for people who want to participate in the political process ,League of Women Voters of Michigan Education Fund. 
mdp.39015071302650,Know your Oakland County government ,League of Women Voters of Michigan 
mdp.39015071179637,The Green grass roots a notebook for people who want to participate ,League of Women Voters of Michigan 
mdp.39015071234697,School desegregation a study ,League of Women Voters of Michigan 
mdp.39015071179744,The initiative and referendum in the charters of local governments in Michigan ,League of Women Voters of Birmingham-Bloomfield 
mdp.39015071304342,Dearborn schools through the eyes of the League of Women Voters ,League of Women Voters of Dearborn 
mdp.39015071180254,The state we're in a citizen's guide to Michigan state government ,League of Women Voters of Michigan 
mdp.39015071304359,The League looks at schools ,League of Women Voters of Dearborn 
mdp.39015071213675,I am furious (female) ,New University Conference (U.S.) Women's Caucus. 
mdp.39015071304433,Dearborn a handbook for citizens and students to help them take an informed and active part in the affairs of the community ,League of Women Voters of Dearborn-Dearborn Heights 
mdp.39015071255163,Forty years of a great idea ,League of Women Voters (U.S.) 
mdp.39015071225158,"The great Flint sit-down strike against General Motors, 1936-1937 ",Progressive Labor Party 
mdp.39015071332640,"Ann Arbor city government, a pamphlet of factual information ",League of Women Voters of Ann Arbor 
mdp.39015071293560,"Introducing Alpena, the city and county ",League of Women Voters of Alpena County 
mdp.39015071238714,Low-level radioactive waste disposal in Michigan the community role ,League of Women Voters of Michigan 
mdp.39015071301181,Know your Marquette County government ,League of Women Voters of Marquette County (Mich.) 
mdp.39015071304458,Dearborn and its government a handbook for citizens and students to help them take an informed and active part in the affairs of their community ,League of Women Voters of Dearborn 
mdp.39015071255064,Liberation will come from a black thing ,Students for a Democratic Society (U.S.) 
mdp.39015071340676,Our city government ,League of Women Voters of Grand Rapids 
mdp.39015071270519,Financing government services in Michigan ,League of Women Voters of Michigan 
mdp.39015071358801,"Citizens handbook, Lapeer, Michigan ",League of Women Voters of Lapeer 
mdp.39015071374964,Know your Ontonagon area a guide to Carp Lake Township and Ontonagon Village ,League of Women Voters of the Copper Country 
mdp.39015071376324,Know Port Huron ,League of Women Voters of Port Huron 
mdp.39015071284908,"Know your city a book of factual information about the City of Ann Arbor, Michigan ",League of Women Voters of the Ann Arbor Area 
mdp.39015071304482,Dearborn and its government a comprehensive handbook for the citizen interested in his community designed to promote active participation in local government ,League of Women Voters of Dearborn 
mdp.39015071292091,Facts about the Bloomfield Hills Schools ,League of Women Voters of Birmingham-Bloomfield 
mdp.39015071377090,A survey of tax-supported recreation in Royal Oak ,League of Women Voters of Royal Oak 
mdp.39015071304573,"ABC's of Dearborn Heights six school districts a preliminary report on financing our schools, as of June 30, 1968 ",League of Women Voters of Dearborn Heights 
mdp.39015071332608,"Know your schools a pamphlet of factual information about the Ann Arbor Public Schools, May, 1957 ",League of Women Voters of Ann Arbor 
mdp.39015071340692,"Our city government Grand Rapids, Michigan, 1931 ",League of Women Voters of Grand Rapids 
mdp.39015071293578,"Know your county, Alpena ",League of Women Voters of Alpena County 
mdp.39015071343241,This is your Grosse Pointe ,League of Women Voters of Grosse Pointe Park 
mdp.39015071381951,"What we have learned about our Wayne Community School District a preliminary study report, 1960-1961 ",League of Women Voters of Wayne School Study Committee. 
mdp.39015071343241,Your Grosse Pointe ,League of Women Voters of Grosse Pointe Park 
mdp.39015071302569,"Citizen's guide to local government Avon, Oakland, and Pontiac Townships, Village of Lake Angelus, City of Rochester ",League of Women Voters of the Rochester Area 
mdp.39015071375193,Know your Owosso ,League of Women Voters of Owosso 
mdp.39015072183877,A commentary on the improvement of Cook County Hospital with recommendations ,Chicago Urban League 
mdp.39015073328505,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015071304474,Dearborn a handbook for citizens and students to help them take an informed and active part in the affairs of the community ,League of Women Voters of Dearborn-Dearborn Heights 
mdp.39015071304581,Dearborn Heights ,League of Women Voters of Dearborn-Dearborn Heights 
mdp.39015071325206,Know your county a handbook of Washtenaw County government ,League of Women Voters of the Ann Arbor Area 
mdp.39015073328562,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015073328661,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015073328802,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015073328836,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015071326592,Know Your Wayne County government ,League of Women Voters of Detroit 
mdp.39015073700737,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
mdp.39015071327566,Know your town : Les Cheneaux area ,"League of Women Voters of Sault Sainte Marie and Les Cheneaux Area, Mich "
mdp.39015073700935,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
mdp.39015071331022,Know your Allen Park ,League of Women Voters of Allen Park 
mdp.39015073700943,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
mdp.39015071381969,Cold facts and common sense about the Wayne Community School District a booklet of factual information ,League of Women Voters of Wayne 
mdp.39015071332616,Know your schools a guide to Ann Arbor Public Schools ,League of Women Voters of the Ann Arbor Area 
mdp.39015071332657,Know your town a pamphlet of factual information about Ann Arbor's city government ,League of Women Voters of Ann Arbor 
mdp.39015073700950,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
mdp.39015071383007,Our Ypsilanti city and township ,League of Women Voters of Ypsilanti 
mdp.39015073700950,Report of the General Executive Board and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
mdp.39015071337797,Government in Escanaba a handbook ,League of Women Voters of Escanaba 
mdp.39015073700968,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
mdp.39015071499233,Hand book of Hillsdale College ,"Young Women's Christian Association (Hillsdale College, Mich.) "
mdp.39015071343233,Know your Grosse Pointe ,League of Women Voters of Grosse Pointe 
mdp.39015071362845,"The Midland Public Schools, Midland, Michigan ",League of Women Voters of the Midland Area 
mdp.39015071815026,The State we're in a citizen's guide to Michigan State government ,League of Women Voters of Michigan 
mdp.39015073700984,Proceedings of the ... Biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
mdp.39015073782735,Progressive labor ,Progressive Labor Party 
mdp.39015073791439,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
mdp.39015074667190,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015071363314,Know your town a handbook on the many facets of Mt. Pleasant community life ,League of Women Voters of the Mt. Pleasant Area (Mich.) 
mdp.39015074667224,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015072116984,How to live with children ,"Association for Family Living, Chicago "
mdp.39015074667240,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015074735237,Circular ,"Northwestern University Settlement (Chicago, Ill.) "
mdp.39015071374394,"Niles, Michigan city of the four flags ",League of Women Voters of the Niles-Buchanan Area 
mdp.39015076834160,Proceedings of the ... convention of the Industrial Workers of the World ,Industrial Workers of the World 
mdp.39015073328497,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015073328604,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015077608639,Studies in language and language education essays in honor of Elite Olshtain ,National Council of Jewish Women 
mdp.39015073328638,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015071376696,"Know your town Rochester, Oakland Township, Avon Township ",League of Women Voters of Rochester 
mdp.39015078292698,Metro Chic. polit. atlas ,Chicago Urban League Research and Planning Department. 
mdp.39015071380276,Know your town Southfield ,League of Women Voters of Southfield 
mdp.39015073328513,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015073328679,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015073328539,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015078294090,California voters handbook ,League of Women Voters of California 
mdp.39015073328703,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015073328729,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015073328547,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015073328570,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015073328786,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015078294090,Guide to California government ,League of Women Voters of California 
mdp.39015073328810,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015078301952,"Legislative action handbook, February 1979 ",League of Women Voters of Michigan 
mdp.39015073328844,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015078308288,Know your Oakland County government ,League of Women Voters of Michigan 
mdp.39015073492509,The Port Huron statement ,Students for a Democratic Society (U.S.) 
mdp.39015073328588,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015073328596,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015079028794,"Preamble and constitution of the Industrial Workers of the World amended by convention ... 1911 - ratified by referendum vote, 1911 ",Industrial Workers of the World 
mdp.39015079028802,"Preamble and constitution amended 1906, 1907 and 1908, ratified by referendum vote ",Industrial Workers of the World 
mdp.39015073497557,Facts. Finnish ,Industrial Workers of the World 
mdp.39015073328620,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015079028810,"Preamble and constitution of the Industrial Workers of the World amended by convention, 1906--ratified by referendum vote, 1906, amended by convention, 1907--ratified by referendem vote, 1907, amended by convention, 1908--ratified by referendum vote, 1908 ",Industrial Workers of the World 
mdp.39015073497557,"Tosiasioita I.W.W. uniosta sen tarkoitus ja pÃƒÂ_ÃƒÂ_mÃƒÂ_ÃƒÂ_rÃƒÂ_ sekÃƒÂ_ yleisen rekryyttiunion rakenne ; (Suomennos englanninkielisestÃƒÂ_ kirjasesta ""Facts"") ",Industrial Workers of the World 
mdp.39015073328711,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015073328737,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015073328745,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015080110789,The Intercollegian ,Young Women's Christian Associations National Student Council. 
mdp.39015073328752,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015073700935,Report of the General Executive Board and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
mdp.39015073328794,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015073700935,Report of the General Executive Board and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
mdp.39015073328828,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015073700943,Report of the General Executive Board and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
mdp.39015073492517,The Port Huron Statement ,Students for a Democratic Society (U.S.) 
mdp.39015080110912,The Intercollegian ,Young Women's Christian Associations National Student Council. 
mdp.39015080262259,Foreign-born a bulletin of international service ,Young Women's Christian Association of the U.S.A National Board. Division on work for foreign born women. 
mdp.39015080262267,Foreign-born a bulletin of international service ,Young Women's Christian Association of the U.S.A National Board. Division on work for foreign born women. 
mdp.39015080262309,Foreign-born a bulletin of international service ,Young Women's Christian Association of the U.S.A National Board. Division on work for foreign born women. 
mdp.39015073700950,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
mdp.39015080262390,Foreign-born a bulletin of international service ,Young Women's Christian Association of the U.S.A National Board. Division on work for foreign born women. 
mdp.39015080262440,Foreign-born a bulletin of international service ,Young Women's Christian Association of the U.S.A National Board. Division on work for foreign born women. 
mdp.39015073700968,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America General Executive Board. 
mdp.39015073700935,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
mdp.39015073700984,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
mdp.39015073700943,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
mdp.39015073700950,Report of the General Executive Board and proceedings of the ... biennial Convention of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
mdp.39015073700992,Documentary history of the Amalgamated Clothing Workers of America ,Amalgamated Clothing Workers of America Convention. 
mdp.39015080262481,Foreign-born a bulletin of international service ,Young Women's Christian Association of the U.S.A National Board. Division on work for foreign born women. 
mdp.39015080262630,Foreign-born a bulletin of international service ,Young Women's Christian Association of the U.S.A National Board. Division on work for foreign born women. 
mdp.39015073782701,Progressive labor ,Progressive Labor Party 
mdp.39015073782677,Progressive labor ,Progressive Labor Party 
mdp.39015080262648,Foreign-born a bulletin of international service ,Young Women's Christian Association of the U.S.A National Board. Division on work for foreign born women. 
mdp.39015073791447,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
mdp.39015080262663,Foreign-born a bulletin of international service ,Young Women's Christian Association of the U.S.A National Board. Division on work for foreign born women. 
mdp.39015073782719,Progressive labor ,Progressive Labor Party 
mdp.39015074206254,An economic interpretation of the job ,Industrial Workers of the World 
mdp.39015080262689,Foreign-born a bulletin of international service ,Young Women's Christian Association of the U.S.A National Board. Division on work for foreign born women. 
mdp.39015081766944,Proletarian and petit-bourgeois ,Industrial Workers of the World 
mdp.39015081766944,Those who own and those who work ,Industrial Workers of the World 
mdp.39015081770250,Discorsi in fabbrica sull'economia sociale ,Industrial Workers of the World 
mdp.39015081944699,Massachusetts State government a citizen's handbook. - ,League of Women Voters of Massachusetts 
mdp.39015073782727,Progressive labor ,Progressive Labor Party 
mdp.39015082033419,The government of Milwaukee County ,League of Women Voters of Milwaukee 
mdp.39015074667166,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015082861785,Minutes of the ... constitutional general convention of the Industrial Workers of the World ,Industrial Workers of the World 
mdp.39015073782743,Progressive labor ,Progressive Labor Party 
mdp.39015073782800,Progressive labor ,Progressive Labor Party 
mdp.39015073782818,Progressive labor ,Progressive Labor Party 
mdp.39015074667182,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015074667232,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015074667257,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015093178385,Cookbook ,Young Women's Christian Association 
mdp.39015074667265,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39015075045578,Y.W.C.A.'s Program and administration tentative work tool ,Young Women's Christian Association of the U.S.A National Board. Division of Community Y.W.C.A.'s. 
mdp.39015074667273,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39076000596796,School finance in the 1980s ,League of Women Voters (U.S.) Education Fund. 
mdp.39015076019374,Disorientation like it is at IU ,New University Conference (U.S.) Indiana University. 
mdp.39015074667281,Ann Arbor association monthly ,Young women's Christian association Ann Arbor. 
mdp.39076001153456,Choosing the president--1992 ,League of Women Voters of California Education Fund. 
mdp.39015074735245,Circular ,"Northwestern University Settlement (Chicago, Ill.) "
mdp.39015075045560,Personnel administration manual ,Young Women's Christian Association of the U.S.A National Board. 
mdp.39015076019374,Disorientation ,New University Conference (U.S.) Jeff Sharlet Chapter. 
msu.31293006494516,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
njp.32101043153111,"Ettor and Giovannitti before the jury at Salem, Massachusetts, November 23, 1912 ",Industrial Workers of the World 
coo.31924014071041,Know your city government ,"League of Women Voters of Tompkins County (Tompkins County, N.Y.) "
mdp.39015076019382,Like it is at IU ,New University Conference (U.S.) Indiana University. 
njp.32101058908474,The One big union monthly ,Industrial Workers of the World 
mdp.39015076834160,Minutes of the ... constitutional general convention of the Industrial Workers of the World ,Industrial Workers of the World 
mdp.39015076019374,Like it is at IU ,New University Conference (U.S.) Jeff Sharlet Chapter. 
njp.32101058908474,The One big union monthly ,Industrial Workers of the World General Executive Board. 
mdp.39015079021849,Sabotage the conscious withdrawal of the workers' industrial efficiency ,Industrial Workers of the World 
mdp.39015079028760,"Preamble and constitution of the Industrial Workers of the World organized July 7, 1905 ... as adopted, 1905, and amended by conventions and ratified by referendum votes, 1906, 1907, 1908, 1910, 1911, 1912, 1913, 1914, 1916 ",Industrial Workers of the World 
mdp.39015076019382,Disorientation ,New University Conference (U.S.) Indiana University. 
mdp.39015079028786,"Preamble and constitution of the Industrial Workers of the World amended by convention, 1906--ratified by referendum vote, 1906 ... amended by convention, 1912--ratified by referendem vote, 1912 ",Industrial Workers of the World 
mdp.39015076019382,Disorientation like it is at IU ,New University Conference (U.S.) Indiana University. 
njp.32101059428571,Industrial efficiency and its antidote ,Industrial Workers of the World 
mdp.39015079028828,"Preamble and constitution of the Industrial Workers of the World amended by convention, 1906, ratified by referendum vote, 1906 ",Industrial Workers of the World 
mdp.39015076019382,Disorientation like it is at IU ,New University Conference (U.S.) Jeff Sharlet Chapter. 
njp.32101059428571,Onward sweep ,Industrial Workers of the World 
mdp.39015079028836,Constitution and by-laws of Industrial Workers of the World adopted Chicago 1905 ,Industrial Workers of the World 
mdp.39015079028703,Ritual ,Industrial Workers of the World 
mdp.39015079028703,Ritual of Industrial Workers of the World ,Industrial Workers of the World 
mdp.39015079029172,Handbook of industrial unionism ,Industrial Workers of the World 
njp.32101065069815,Educational pamphlet series ,Amalgamated Clothing Workers of America Education Dept. 
mdp.39015079029479,What is the I.W.W. preamble? a dialogue ,Industrial Workers of the World 
njp.32101065069849,Board of arbitration for the agreements between the Amalgamated Clothing Workers and the Chicago clothing manufacturers ,Amalgamated Clothing Workers of America Board of Arbitration. 
