htid,title,person
mdp.39015059780711,"The Rebel Girl an autobiography, my first life (1906-1926). - ","Flynn, Elizabeth Gurley. "
uc1.31822021070099,State enterprise reform and macroeconomic stability in transition economies ,"Perkins, Frances 1952- "
mdp.39015062814895,Occult experience in popular culture ,"Edwards, Emily D. "
uc1.31822021215348,The impact of Japanese government energy policies on fuel switching and conservation a dynamic approach ,"Perkins, Frances 1952- "
uc1.31822021215355,A dynamic approach to estimating inter-fuel substitution in Japanese energy demand ,"Perkins, Frances 1952- "
pst.000000473446,Women in industry a study in American economic history ,"Abbott, Edith 1876-1957 "
uc1.31822028335420,China's state owned enterprises nine case studies ,"Perkins, Frances 1952- "
uc1.32106006668674,Democracy and social ethics ,"Addams, Jane 1860-1935 "
pst.000007652455,The delinquent child and the home ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.32106007305243,The spirit of youth and the city streets ,"Addams, Jane 1860-1935 "
pst.000008033048,The immigrant and the community ,"Abbott, Grace 1878-1939 "
uc1.32106016107200,Peace and bread in time of war ,"Addams, Jane 1860-1935 "
pst.000022846112,Southern horrors ,"Wells-Barnett, Ida B. 1862-1931 "
hvd.hj2ak7,Industrial poisons used in the rubber industry ,"Hamilton, Alice 1869-1970 "
mdp.39015076119661,Jane Addam's essays on speeches ,"Addams, Jane 1860-1935 "
uc1.32106016858216,Women images and realities : a multicultural anthology ,"Kesselman, Amy Vita 1944- "
uc1.32106017511491,Women images and realities : a multicultural anthology ,"Kesselman, Amy Vita 1944- "
mdp.39015076318123,"Third report of the Factory Investigating Commission, 1914 ","Perkins, Frances 1880-1965 "
mdp.39015079021849,Sabotage the conscious withdrawal of the workers' industrial efficiency ,"Flynn, Elizabeth Gurley. "
mdp.39015079195262,"The Jane Addams papers, 1860-1960 ","Addams, Jane 1860-1935 "
mdp.39076005891267,Philanthropy and social progress seven essays ,"Addams, Jane 1860-1935 "
uc1.b2799056,Drama and imagery in English medieval churches ,"Anderson, Mary DeÃŒÂÅsireÃŒÂÅe 1902- "
uc1.b2963223,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
uc1.b2963223,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.b2963225,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.b2963225,The Social service review ,"Abbott, Edith 1876-1957 "
mdp.49015000198680,"The second twenty years at Hull-house, September 1909 to September 1929 with a record of a growing world consciousness ","Addams, Jane 1860-1935 "
uc1.b2963228,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
uc1.b2963229,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
uc1.b2963229,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
nc01.ark:/13960/t1wd4nr8c,Captain Dreams and other stories ,"Hamilton, Alice King. "
uc1.b2963230,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.b2963231,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
nnc2.ark:/13960/t1mg8cg67,"Lead poisoning in potteries, tile works, and porcelain enameled sanitary ware factories ","Hamilton, Alice 1869-1970 "
uc1.b2963232,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.b2963233,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.b2963235,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
uc1.b2963235,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.b3327574,Captain Dreams and other stories ,"Hamilton, Alice King. "
uc1.b3894947,Appointment on the Hill ,"Detzer, Dorothy 1893-1981 "
nyp.33433023037900,"The first exposition of conservation and its builders an official history of the National conservation exposition, held at Knoxville, Tenn., in 1913 and of its forerunners, the Appalachian expositions of 1910-11, embracing a review of the conservation movement in the United States from its inception to the present time ","Lathrop, Julia Clifford 1858-1932 "
uc1.b4115655,Industrial poisons in the United States ,"Hamilton, Alice 1869-1970 "
pst.000023841888,The Leipzig vampire ,"Anderson, Mary 1929- "
uc1.b4315266,Madeline McDowell Breckinridge a leader in the new South ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.b4370154,The rise of the student estate in Britain ,"Anderson, Mary 1922- "
uc1.l0078858131,Education for all what are we waiting for? ,"Anderson, Mary B. 1939- "
uc2.ark:/13960/t0cv4dp3q,"Third report of the Factory Investigating Commission, 1914 ","Perkins, Frances 1880-1965 "
uc2.ark:/13960/t0xp6xq8s,The Social application of religion ,"Addams, Jane 1860-1935 "
uc2.ark:/13960/t5j960p5w,Poems and biography of Mary Eleanor Anderson ,"Anderson, Mary Eleanor (Roberts) Mrs 1840-1916 "
nyp.33433075925218,"Forty years at Hull-House being ""Twenty years at Hull-House"" and ""The second twenty years at Hull-House"" ","Addams, Jane 1860-1935 "
uc2.ark:/13960/t7fq9rj53,Captain Dreams and other stories ,"Hamilton, Alice King. "
uc2.ark:/13960/t8cf9qz4g,The spirit of youth and the city streets ,"Addams, Jane 1860-1935 "
nyp.33433075942882,Newer ideals of peace ,"Addams, Jane 1860-1935 "
nyp.33433076071293,"Mildred's cadet; or, Hearts and bell-buttons An idyl of West Point ","Hamilton, Alice King. "
uc2.ark:/13960/t9n29sg5g,New homes for old ,"Breckinridge, Sophonisba Preston 1866-1948 "
nyp.33433082123450,A few memories ,"Anderson, Mary 1859-1940 "
osu.32435009329327,Poems and biography of Mary Eleanor Anderson ,"Anderson, Mary Eleanor (Roberts) Mrs 1840-1916 "
uiug.30112045817266,The Housing problem in Chicago ,"Abbott, Edith 1876-1957 "
uiug.30112048425653,Social group work a definition with a methodological note ,"Boyd, Neva Leona. "
pst.000032481976,Improvisation for the theater a handbook of teaching and directing techniques ,"Spolin, Viola. "
uiug.30112104140055,Short talks about working women ,"Anderson, Mary 1872-1964 "
uiuo.ark:/13960/t66420f3q,The principles and applications of single limits ,"Anderson, Mary. "
osu.32435056493943,"The twelve and you what happens to democracy is your business, too! ","Flynn, Elizabeth Gurley. "
uiuo.ark:/13960/t6rx9530d,The delinquent child and the home ,"Abbott, Edith 1876-1957 "
pst.000033666990,3 spirits of Vandermeer Manor ,"Anderson, Mary 1929- "
pst.000003825570,Improvisation for the theater a handbook of teaching and directing techniques ,"Spolin, Viola. "
pst.000033666990,The three spirits of Vandermeer Manor ,"Anderson, Mary 1929- "
pst.000026032894,"The child in the city a series of papers presented at the conferences held during the Chicago child welfare exhibit, pub. by the Department of social investigation, Chicago school of civics and philanthropy ","Breckinridge, Sophonisba Preston 1866-1948 "
uiuo.ark:/13960/t87h1h079,Women at the Hague the International Congress of Women and its results ,"Addams, Jane 1860-1935 "
pst.000065373804,Manitoban stained glass ,"Hamilton, Alice Blanche Lewis 1913- "
uiuo.ark:/13960/t8df6n12r,The University of Chicago settlement ,"McDowell, Mary E. (Mary Eliza) "
hvd.hj2akm,Hygiene of the printing trades ,"Hamilton, Alice 1869-1970 "
uc1.$b17844,Protestant mission schools for girls in South China (1827 to the Japanese invasion) ,"Anderson, Mary Raleigh b. 1878 "
umn.31951000933079e,"Folk dances of Bohemia and Moravia for school, playground and social center ","Boyd, Neva D. "
uc1.$b21156,"My friend, Julia Lathrop ","Addams, Jane 1860-1935 "
hvd.hn2hgy,The spirit of youth and the city streets ,"Addams, Jane 1860-1935 "
umn.31951001986009i,A descriptive study of values and interests of four groups of graduate women at the University of Minnesota ,"Anderson, Mary Roberdeau. "
uc1.$b21516,"Women in the twentieth century a study of their political, social and economic activities ","Breckinridge, Sophonisba Preston 1866-1948 "
uc1.$b242360,The immigrant and the community ,"Abbott, Grace 1878-1939 "
pst.000027786642,The spirit of youth and the city streets ,"Addams, Jane 1860-1935 "
uc1.$b243386,The modern household ,"Breckinridge, Sophonisba Preston 1866-1948 joint author. "
pst.000027835845,The spirit of youth and the city streets ,"Addams, Jane 1860-1935 "
umn.31951p002970141,Ida B. Wells tells about lynchings ,"Wells-Barnett, Ida B. 1862-1931 "
uva.x000195004,Newer ideals of peace ,"Addams, Jane 1860-1935 "
uc1.$b267772,Religion in social action ,"Addams, Jane 1860-1935 "
uva.x000333917,The spirit of youth and the city streets ,"Addams, Jane 1860-1935 "
pst.000046345554,"Exploring the dangerous trades the autobiography of Alice Hamilton, M.D ","Hamilton, Alice 1869-1970 "
uc1.$b357929,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
uc1.$b357929,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.$b357932,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
uva.x000546275,Religion in social action ,"Addams, Jane 1860-1935 "
uc1.$b357935,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
txu.059173023740667,"Modern Mexican frescoes a guide to all Mexican frescoes, with a special map to frescoes in the center of Mexico City ","Edwards, Emily 1888-1980 "
wu.89014933337,Minds@UW ,"Anderson, Mary Rebecca 1943- "
hvd.hn3bxv,Scenes in the Hawaiian Islands and California ,"Anderson, Mary E. (Mary Evarts) 1838-1905 "
uc1.$b357935,The Social service review ,"Abbott, Edith 1876-1957 "
wu.89014933337,Vegetational change on the Greene Prairie in relation to soil characteristics ,"Anderson, Mary Rebecca 1943- "
txu.059173023923805,Painted walls of Mexico from prehistoric times until today ,"Edwards, Emily 1888-1980 "
uc1.$b21156,"My friend, Julia Lathrop ","Hamilton, Alice 1869-1970 "
uc1.$b266508,The long road of woman's memory ,"Addams, Jane 1860-1935 "
uc1.$b270206,New homes for old ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.$b357938,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.$b357938,The Social service review ,"Abbott, Edith 1876-1957 "
wu.89017262452,Looking for history in British churches ,"Anderson, Mary Desiree 1902- "
uc1.$b357939,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
uc1.$b357939,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.$b357940,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.$b357940,The Social service review ,"Abbott, Edith 1876-1957 "
uc1.$b357941,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.$b276033,Creative drama in the lower school ,"Brown, Corinne. "
uc1.$b357929,The Social service review ,"Abbott, Edith 1876-1957 "
uc1.$b357930,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
uc1.$b357942,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
uc1.$b357931,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
uc1.$b357932,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.$b357932,The Social service review ,"Abbott, Edith 1876-1957 "
uc1.$b357943,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
hvd.hn3i8j,Newer ideals of peace ,"Addams, Jane 1860-1935 "
uc1.$b357933,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
uc1.$b357943,The Social service review ,"Abbott, Edith 1876-1957 "
uc1.$b357933,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
hvd.hn5ejv,The spirit of youth and the city streets ,"Addams, Jane 1860-1935 "
uc1.$b357944,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
uc1.$b818604,New homes for old ,"Breckinridge, Sophonisba Preston 1866-1948 "
wu.89032303786,"The Indiana poor law its development and administration, with special reference to the provisions of state care for the sick poor ","Breckinridge, Sophonisba Preston 1866-1948 "
uc1.$b357934,The Social service review ,"Abbott, Edith 1876-1957 "
uc1.31175035135212,"Shakespeare's comedy, in five acts, As you like it ","Anderson, Mary 1859-1940 "
wu.89048444640,PL/I for business applications ,"Anderson, Mary Ellen 1945- "
uc1.$b357936,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.31822016680209,Costs and benefits of water supply technologies in rural Indonesia evidence from Nusa Tenggara Barat ,"Perkins, Frances 1952- "
uc1.$b357936,The Social service review ,"Abbott, Edith 1876-1957 "
uc1.$b357937,The Social service review ,"Abbott, Edith 1876-1957 "
wu.89058081308,The pioneer settlement ,"Addams, Jane 1860-1935 "
uc1.32106006620782,Patriotism and pacifists in war time ,"Addams, Jane 1860-1935 "
uc1.$b357942,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
wu.89058507211,Woman at work the autobiography of Mary Anderson as told to Mary N. Winslow ,"Anderson, Mary 1872-1964 "
uc1.$b357944,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
wu.89098884380,"Elizabeth Cady Stanton, Susan B. Anthony, correspondence, writings, speeches ","DuBois, Ellen Carol 1947- "
uc1.32106006620782,Peace and bread in time of war ,"Addams, Jane 1860-1935 "
uc1.$b357945,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
hvd.hnqplk,Captain Dreams and other stories ,"Hamilton, Alice King. "
uc1.$b357945,The Social service review ,"Abbott, Edith 1876-1957 "
uc1.32106015486118,Not for ourselves alone the story of Elizabeth Cady Stanton and Susan B. Anthony : an illustrated history ,"DuBois, Ellen Carol 1947- "
hvd.hny6f1,The overthrow of the war system ,"Addams, Jane 1860-1935 "
uc1.$b46866,"Third report of the Factory Investigating Commission, 1914 ","Perkins, Frances 1880-1965 "
uc1.b2963223,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.$b95098,Industrial poisons in the United States ,"Hamilton, Alice 1869-1970 "
uc1.b2963225,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
uc1.31822018868513,State enterprise reform and macro-economic stability in transition economies ,"Perkins, Frances 1952- "
uc1.b2963225,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.31822019038975,The impact of economic reform on productivity growth in Chinese industry a case of Xiamen special economic zone ,"Perkins, Frances 1952- "
uc1.32106000275492,Women at the Hague the International Congress of Women and its results ,"Addams, Jane 1860-1935 "
uc1.32106000275492,Women at the Hague the International Congress of Women and its results ,"Hamilton, Alice 1869-1970 "
uc1.32106001439402,"Misericords, medieval life in English woodcarving ","Anderson, Mary DeÃŒÂÅsireÃŒÂÅe 1902- "
uc1.b2963227,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.32106010310750,The social thought of Jane Addams ,"Addams, Jane 1860-1935 "
uc1.32106020334097,"Lead poisoning in potteries, tile works, and porcelain enameled sanitary ware factories ","Hamilton, Alice 1869-1970 "
uc1.b2963223,The Social service review ,"Abbott, Edith 1876-1957 "
uc1.b2963224,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
uc1.b2963224,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.b2963226,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.b2963226,The Social service review ,"Abbott, Edith 1876-1957 "
uc1.b2963227,The Social service review ,"Abbott, Edith 1876-1957 "
uc1.b2963227,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.b2963228,The Social service review ,"Abbott, Edith 1876-1957 "
uc1.b2963228,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
hvd.rslygm,A few memories ,"Anderson, Mary 1859-1940 "
uc1.b2963232,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
uc1.b2963229,The Social service review ,"Abbott, Edith 1876-1957 "
uc1.b2963233,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
uc1.b2963233,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.b2963230,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.b2963234,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.b2963234,The Social service review ,"Abbott, Edith 1876-1957 "
uc1.b2963235,The Social service review ,"Abbott, Edith 1876-1957 "
uc1.b3140689,Industrial toxicology ,"Hamilton, Alice 1869-1970 "
uc1.b3271130,Report of the Commission on Immigration on the problem of immigration in Massachusetts ,"Abbott, Grace 1878-1939 "
uc1.b3373675,History and imagery in British churches ,"Anderson, Mary DeÃŒÂÅsireÃŒÂÅe 1902- "
uc1.b3414742,Truancy and non-attendance in the Chicago schools a study of the social aspects of the compulsory education and child labor legislation of Illinois ,"Abbott, Edith 1876-1957 "
uc1.b3818647,The spirit of youth and the city streets ,"Addams, Jane 1860-1935 "
uc1.b4268565,The Family and social service in the 1920's two documents ,"Abbott, Edith 1876-1957 "
uc1.b2963230,The Social service review ,"Abbott, Edith 1876-1957 "
uc1.b5605634,A new conscience and an ancient evil ,"Addams, Jane 1860-1935 "
uc1.c025235823,The feasibility of establishing a state travel center ,"Anderson, Mary Jo. "
uc1.l0068530674,Schoolroom games ,"Boyd, Neva L. (Neva Leona) "
ien.35556002316040,Woman and the larger citizenship ,"Addams, Jane 1860-1935 "
uc2.ark:/13960/t19k47r2z,Democracy and social ethics ,"Addams, Jane 1860-1935 "
uc2.ark:/13960/t27941m6h,The modern household ,"Breckinridge, Sophonisba Preston 1866-1948 joint author. "
ien.35556002316149,Woman and the larger citizenship ,"Addams, Jane 1860-1935 "
uc2.ark:/13960/t6h12x12s,Truancy and non-attendance in the Chicago schools a study of the social aspects of the compulsory education and child labor legislation of Illinois ,"Breckinridge, Sophonisba Preston 1866-1948 "
ien.35556003847464,A red record ,"Wells-Barnett, Ida B. 1862-1931 "
uc2.ark:/13960/t6rx98x7s,A few memories ,"Anderson, Mary 1859-1940 "
ien.35556038846606,Writings on peace ,"Addams, Jane 1860-1935 "
uiug.30112045817266,Chicago housing conditions ,"Abbott, Edith 1876-1957 "
uiug.30112055332826,Plumbism in the industries of the middle west ,"Hamilton, Alice 1869-1970 "
uiug.30112057382092,Jim-Crow in uniform ,"Jones, Claudia. "
uiug.30112110771521,Sources of chloride and sulfate in groundwater beneath an urbanized area in southeastern Wisconsin technical completion report ,"Anderson, Mary P. "
uiuo.ark:/13960/t08w6r22g,Newer ideals of peace ,"Addams, Jane 1860-1935 "
uiuo.ark:/13960/t2g73928q,The long road of woman's memory ,"Addams, Jane 1860-1935 "
uiuo.ark:/13960/t4sj1tg5j,The Chicago Juvenile court ,"Breckinridge, Sophonisba Preston 1866-1948 "
uiuo.ark:/13960/t53f4pp86,The immigrant and coal mining communities of Illinois ,"Abbott, Grace 1878-1939 "
uiuo.ark:/13960/t6159n886,Romeo and Juliet a tragedy in five acts ,"Anderson, Mary 1859-1940 "
uiuo.ark:/13960/t85h7vw5s,Report of the City council committee on crime of the city of Chicago ,"Abbott, Edith. "
uc1.b2963231,Soc. serv. rev (Chicago) ,"Abbott, Edith 1876-1957 "
uiuo.ark:/13960/t8pc2w574,A new conscience and an ancient evil ,"Addams, Jane 1860-1935 "
umn.31951001518101i,Women in the war ,"Flynn, Elizabeth Gurley. "
umn.319510015693312,A handbook for the women voters of Illinois ,"Breckinridge, Sophonisba Preston 1866-1948 ed. "
umn.31951001952131n,Women have a date with destiny ,"Flynn, Elizabeth Gurley. "
umn.319510021179978,Old square dances of America ,"Boyd, Neva Leona. "
umn.319510023121246,Women in industry a study in American economic history ,"Abbott, Edith 1876-1957 "
umn.31951002397548b,The story of Aunt Lizzie Aiken ,"Anderson, Mary Eleanor Roberts 1840-1916 "
umn.31951d01190219t,Revegetation of mined peatlands I. Environmental properties of a mined area ,"Anderson, Mary L. "
uc1.b2963231,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
inu.30000010359507,When I was a girl the stories of five famous women as told by themselves ,"Addams, Jane 1860-1935 "
umn.31951d023576780,Handbook of games ,"Boyd, Neva Leona comp. "
umn.31951d02376251t,Women in industry a study in American economic history ,"Abbott, Edith 1876-1957 "
umn.31951d03164501i,Legal tender a study in English and American monetary history ,"Breckinridge, Sophonisba Preston 1866-1948 "
uva.x000478443,Madeline McDowell Breckinridge a leader in the new South ,"Breckinridge, Sophonisba Preston 1866-1948 "
wu.89032303786,State care of the sick poor in Indiana ,"Breckinridge, Sophonisba Preston 1866-1948 "
wu.89067360396,"Every-name index to Historical records of the town of Cornwall, Litchfield County, Connecticut, second edition, 1904, by Theodore S. Gold ","Anderson, Mary Ananell. "
wu.89067360396,"Index to Historical records of the town of Cornwall, CT ","Anderson, Mary Ananell. "
uc1.b2963232,The Social service review ,"Breckinridge, Sophonisba Preston 1866-1948 "
wu.89098854516,The story of Aunt Lizzie Aiken ,"Anderson, Mary Eleanor 1840-1916 "
wu.89098884265,"Twenty years at Hull-house, with autobiographical notes ","Addams, Jane 1860-1935 "
uc1.b2963235,Soc. serv. rev (Chicago) ,"Breckinridge, Sophonisba Preston 1866-1948 "
uc1.b3455135,Historical aspects of the immigration problem ,"Abbott, Edith 1876-1957 "
inu.30000026068902,"Folk dances of Bohemia and Moravia for school, playground and social center ","Boyd, Neva Leona 1876- joint comp. "
uc1.b3648516,Report of the Commission on Immigration on the problem of immigration in Massachusetts ,"Abbott, Grace 1878-1939 "
inu.30000026339063,Here for good. German ,"Booth, Heather. "
inu.30000026339063,Migration und Rassismus in Westeuropa ,"Booth, Heather. "
uc1.b5617372,The delinquent child and the home ,"Abbott, Edith 1876-1957 "
inu.30000087626051,Women at the Hague the International Congress of Women and its results ,"Addams, Jane 1860-1935 "
uc2.ark:/13960/t11n81b8q,The overthrow of the war system ,"Addams, Jane 1860-1935 "
mdp.39015000660590,"Universities: British, Indian, African a study in the ecology of higher education ","Anderson, Mary historian "
uc2.ark:/13960/t2r49r46r,The immigrant and the community ,"Abbott, Grace 1878-1939 "
mdp.39015003646190,"Universities: British, Indian, African a study in the ecology of higher education ","Anderson, Mary historian "
uc2.ark:/13960/t3gx45f4m,The modern household ,"Breckinridge, Sophonisba Preston 1866-1948 joint author. "
mdp.39015005018851,Al Smith: hero of the cities a political portrait drawing on the papers of Frances Perkins ,"Perkins, Frances 1880-1965 "
mdp.39015005113793,Women in industry a study in American economic history ,"Abbott, Edith 1876-1957 "
uc2.ark:/13960/t3pv6ff8s,Madeline McDowell Breckinridge a leader in the new South ,"Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015006680162,Industrial toxicology ,"Hamilton, Alice 1869-1970 "
mdp.39015008618319,"The child, the clinic and the court a group of papers ","Addams, Jane 1860-1935 "
uc2.ark:/13960/t6h12x12s,Truancy and non-attendance in the Chicago schools a study of the social aspects of the compulsory education and child labor legislation of Illinois ,"Abbott, Edith 1876-1957 "
mdp.39015010848763,The immigrant and the community ,"Abbott, Grace 1878-1939 "
uc2.ark:/13960/t6h12z90t,Religion in social action ,"Addams, Jane 1860-1935 "
uc2.ark:/13960/t84j0vc7d,Peace and bread in time of war ,"Addams, Jane 1860-1935 "
uc2.ark:/13960/t89g5h36z,Captain Dreams and other stories ,"Hamilton, Alice King. "
ufl1.ark:/13960/t9p27vj29,Women's place in industry in 10 southern states ,"Anderson, Mary 1872-1964 "
uiug.30112000625019,Philanthropy and social progress seven essays ,"Addams, Jane 1860-1935 "
uiug.30112002763560,The University of Chicago settlement ,"McDowell, Mary E. (Mary Eliza) "
uiug.30112018112877,Occupational poisoning in the viscose rayon industry ,"Hamilton, Alice 1869-1970 "
uiug.30112045817266,Chicago housing conditions ,"Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015010870437,"Twenty years at Hull-house, with autobiographical notes ","Addams, Jane 1860-1935 "
mdp.39015015276911,Peace and bread in time of war ,"Addams, Jane 1860-1935 "
mdp.39015015649448,Twenty years at Hull-house with autobiographical notes ,"Addams, Jane 1860-1935 "
mdp.39015016154521,Play and game theory in group work a collection of papers ,"Boyd, Neva Leona. "
mdp.39015019233363,"The McCarren Act, fact and fancy ","Flynn, Elizabeth Gurley. "
mdp.39015024092960,Twenty years at Hull-house ,"Addams, Jane 1860-1935 "
mdp.39015024093158,Twenty years at Hull-house ,"Addams, Jane 1860-1935 "
mdp.39015024367222,The modern household ,"Breckinridge, Sophonisba Preston 1866-1948 joint author. "
uiug.30112045817266,The Housing problem in Chicago ,"Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015028060583,"Philanthrophy and social progress seven essays delivered before the School of Applied Ethics at Plymouth, Mass., during the session of 1892 ","Addams, Jane 1860-1935 "
uiug.30112064448555,"Debs, Haywood, Ruthenberg ","Flynn, Elizabeth Gurley. "
uiuo.ark:/13960/t1vd6xk7d,The spirit of youth and the city streets ,"Addams, Jane 1860-1935 "
uiuo.ark:/13960/t7gq6tg6p,Peace and bread in time of war ,"Addams, Jane 1860-1935 "
umn.319510015033980,Democracy and social ethics ,"Addams, Jane 1860-1935 "
mdp.39015028476425,Selections. 1992 ,"DuBois, Ellen Carol 1947- "
mdp.39015028933177,"Two scholarly friends Yates Snowden-John Bennett correspondence, 1902-1932 ","Anderson, Mary Crow 1922- "
mdp.39015029721373,Health promotion at the community level a case for community competence ,"Anderson, Mary Katherine. "
mdp.39015031962890,Legal tender a study in English and American monetary history ,"Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015032595509,Unequal sisters a multicultural reader in U.S. women's history ,"DuBois, Ellen Carol 1947- "
mdp.39015032643754,Rising from the ashes development strategies in times of disaster ,"Anderson, Mary B. 1939- "
mdp.39015034038474,Caring for the elderly client ,"Anderson, Mary Ann 1946- "
mdp.39015048063013,Industrial toxicology ,"Hamilton, Alice 1869-1970 "
umn.31951001959733w,Georgia ,"Anderson, Mary Savage Jones 1873- "
umn.319510021179978,Square dances of America ,"Boyd, Neva Leona. "
uva.x000368667,Democracy and social ethics ,"Addams, Jane 1860-1935 "
uva.x000500989,A new conscience and an ancient evil ,"Addams, Jane 1860-1935 "
wu.89063007116,The memoirs of Joseph Smith III (1832-1914) ,"Anderson, Mary Audentia Smith 1872- "
wu.89067360420,"Every-name index to A History of Cornwall, Connecticut, 1926, by Edward C. Starr ","Anderson, Mary Ananell. "
wu.89083904987,Industrial toxicology ,"Hamilton, Alice 1869-1970 "
wu.89084366400,Women at the Hague the international peace congress of 1915 ,"Addams, Jane 1860-1935 "
yale.39002015031660,Madeline McDowell Breckinridge a leader in the new South ,"Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015049224564,Some American pioneers in social welfare select documents with editorial notes ,"Abbott, Edith 1876-1957 "
mdp.39015052303552,The delinquent child and the home ,"Abbott, Edith 1876-1957 "
mdp.39015058009278,The delinquent child and the home ,"Breckinridge, Sophonisba Preston 1866-1948 "
mdp.39015061319706,The life writings of Mary Baker McQuesten Victorian matriarch ,"Anderson, Mary J. (Mary Johanna) 1931- "
mdp.39015064431805,Twenty years at Hull-house with autobiographical notes ,"Addams, Jane 1860-1935 "
mdp.39015066089320,Improvisation for the theater a handbook of teaching and directing techniques ,"Spolin, Viola. "
mdp.39015073492129,The plot to gag America ,"Flynn, Elizabeth Gurley. "
mdp.39015079021856,Sabotage the conscious withdrawal of the workers' industrial efficiency ,"Flynn, Elizabeth Gurley. "
mdp.39015080825386,Groundwater ,"Anderson, Mary P. "
mdp.49015000215567,"Juvenile court laws in the United States a summary by states,by Thomas J. Homer; a topical abstract, by Grace Abbott; and the new juvenile court law of Monroe county, N.Y ","Abbott, Grace 1878-1939 "
nnc2.ark:/13960/t6rx9ct09,The story of Aunt Lizzie Aiken ,"Anderson, Mary Eleanor Roberts 1840-1916 "
nyp.33433012830992,Industrial poisons used in the rubber industry ,"Hamilton, Alice 1869-1970 "
nyp.33433068199474,The overthrow of the war system ,"Addams, Jane 1860-1935 "
nyp.33433075942890,Newer ideals of peace ,"Addams, Jane 1860-1935 "
